id,Vcmax,Jmax,Rd,TPU,Vcmax_SE,Jmax_SE,Rd_SE,TPU_SE,rep,site,elevation,species,lma
potgra_almont_ambient_ss5_r1,87.93278536,110.6029335,-0.975568061,5.657231169,0.988562125,NA,0.196471908,NA,1,almont.amb,2740,potgra,
potgra_almont_ambient_ss3_r2,86.9598612,125.1801677,-0.091441838,NA,0.415079477,NA,0.10350994,NA,2,almont.amb,2740,potgra,
potgra_almont_amb_ss4_r3,19.07427633,1286527.986,1.498657123,2.964147133,0.216968993,NA,0.121845644,NA,3,almont.amb,2740,potgra,
taroff_almont_ambient_ss5_r1,50.9424762,59.75081164,-2.726108228,3.517697231,1.116267584,NA,0.15420917,NA,1,almont.amb,2740,taroff,
taroff_almont_ambient_ss3_r2,57.10064604,114.1264077,0.762084305,7.219820328,0.836394525,NA,0.208360916,NA,2,almont.amb,2740,taroff,
taroff_almont_amb_ss4_r3,18.47610419,950359.0243,-2.299118606,3.268160387,0.528137446,NA,0.159532532,NA,3,almont.amb,2740,taroff,
wyeamp_almont_ambient_ss5_r1,160.0738882,256.3434796,7.532768433,11.63907885,2.60098089,NA,0.740343399,NA,1,almont.amb,2740,wyeamp,
wyeamp_almont_ambient_ss3_r2,148.3757363,215.3182913,2.986617216,10.38943065,0.585347406,NA,0.141054719,NA,2,almont.amb,2740,wyeamp,
wyeamp_almont_amb_ss4_r3,101.972013,241.5923427,7.100704372,NA,0.489492148,NA,0.2281797,NA,3,almont.amb,2740,wyeamp,
arttri_r1_road,43.50812505,1000712.825,-7.770657989,8.99354144,1.095079157,NA,0.409131132,NA,1,road,2815,arttri,96.30911188
arttri.r3_road,88.34662846,108.9776081,-1.390984872,NA,0.963743109,NA,0.109185317,NA,3,road,2815,arttri,87.17387908
artri_r4_road,61.17223341,137.6840313,-12.93063936,NA,2.440635682,NA,0.618912663,NA,4,road,2815,arttri,76.27952756
hymhoo_r1_road,125.7913223,182.268562,2.84761246,11.4329911,3.018829451,NA,0.396614466,NA,1,road,2815,hymhoo,73.40444766
hymhow_road_r2,200.5469813,372.4743803,10.81135236,20.32948416,7.750641239,NA,1.161564134,NA,2,road,2815,hymhoo,99.58970533
hymhoo_road_r3,104.5951623,220.2666624,0.81087461,NA,1.038259061,NA,0.220485752,NA,3,road,2815,hymhoo,76.79141944
lupbac_r1_road,86.03213361,182.221293,-5.269043379,12.41086183,1.99317099,NA,0.468496663,NA,1,road,2815,lupbak,91.56142365
lupbak.r3_road,88.81933136,218.1630585,-5.01763063,NA,1.024438127,NA,0.293180161,NA,3,road,2815,lupbak,81.93227563
potfru_r1_road,115.7543351,304.4486462,10.59319412,19.89978525,6.238458894,NA,1.210106903,NA,1,road,2815,potfru,
potpru_road_r2,170.9649158,317.8139596,4.62777563,19.5240754,3.861929817,NA,0.617017424,NA,2,road,2815,potfru,84.36944938
potfru.r3_road,100.0872891,240.4251469,6.536443997,NA,3.094946443,NA,0.564586304,NA,3,road,2815,potfru,93.69097091
taroff_r1_road,70.09000833,879736.4884,2.29523352,9.791040732,0.863400136,NA,0.186462589,NA,1,road,2815,taroff,44.28474766
taroff_road_r2,94.06328224,181.2071486,5.523315869,11.12335064,3.047573886,NA,0.571125134,NA,2,road,2815,taroff,43.08910179
taroff.r3_road,62.95377151,139.6093399,0.751361758,9.704403182,0.593295142,NA,0.118593019,NA,3,road,2815,taroff,40.84502736
vercal_r1_road,79.20774757,136.1646873,4.078371918,NA,1.604062983,NA,0.347259449,NA,1,road,2815,vercal,62.15930564
vercal_road_r2,76.75029047,146.0320017,5.11666678,NA,2.113479761,NA,0.484571883,NA,2,road,2815,vercal,61.5739092
vercal.r3_road,56.15900855,92.52016923,2.18376581,NA,0.602524002,NA,0.120442435,NA,3,road,2815,vercal,73.53548126
delbar_gothic_r1,64.24468727,955197.7417,5.297408261,7.945916696,0.950978135,NA,0.213025254,NA,1,gothic,2896,delbar,
delbar_gothic_r2,94.24832384,195.9180695,3.186459385,12.08652504,1.105341488,NA,0.244647618,NA,2,gothic,2896,delbar,
delbar.gothic.r3,32.45720584,72.55002389,-3.209969651,5.541191747,1.061434525,NA,0.220230923,NA,3,gothic,2896,delbar,
hersph_gothic_r1,79.3372058,154.9116465,4.042816835,9.416426721,1.069540914,NA,0.222099311,NA,1,gothic,2896,hersph,
hersph_gothic_r2,95.17128374,955617.6295,4.759653893,11.03464278,2.039687551,NA,0.435859581,NA,2,gothic,2896,hersph,
hersph.gothic.r3,66.02497741,147.9216342,1.639993367,10.89341141,1.091132354,NA,0.181123292,NA,3,gothic,2896,hersph,
hymhoo_gothic_r1,89.27190936,211.0591802,2.715050626,13.9695936,1.261915205,NA,0.254223285,NA,1,gothic,2896,hymhoo,
hymhoo_gothic_r2,86.70874651,194.3992931,1.162348875,12.32183173,0.610091319,NA,0.150792555,NA,2,gothic,2896,hymhoo,
hymhoo.gothic.r3,45.8538842,107.1789371,1.204943912,NA,0.450516471,NA,0.090392802,NA,3,gothic,2896,hymhoo,
ligpor_gothic_r1,66.40965263,130.3103154,1.95919027,10.09901744,2.386767777,NA,0.362324321,NA,1,gothic,2896,ligpor,
ligpor_gothic_r2,74.23110083,148.166974,1.011170908,NA,0.693593584,NA,0.154459307,NA,2,gothic,2896,ligpor,
ligpor.gothic.r3,59.70878316,141.1054542,0.695979974,11.05879019,0.458561743,NA,0.094122565,NA,3,gothic,2896,ligpor,
mercil_gothic_r1,69.6215734,140.1436055,4.673063942,9.338375835,0.97095175,NA,0.213258802,NA,1,gothic,2896,mercil,
mercil_gothic_r2,110.8862392,203.1919853,3.696552252,12.88303359,2.248687597,NA,0.386712675,NA,2,gothic,2896,mercil,
mercil.gothic.r3,75.24492792,160.0381536,-0.838485699,11.32389099,0.719341447,NA,0.127641401,NA,3,gothic,2896,mercil,
potgra_gothic_r1,111.8782189,232.773228,2.5292924,14.94683116,2.499476531,NA,0.364428948,NA,1,gothic,2896,potgra,
potgra_gothic_r2,94.68656285,167.6448563,3.413448497,NA,1.794889934,NA,0.32236447,NA,2,gothic,2896,potgra,
potgra_gothic_r4,134.173756,288.5000893,2.455019781,16.51421296,0.850231588,NA,0.188028594,NA,4,gothic,2896,potgra,
senecio_gothic_r1,72.55240991,956368.0968,6.155415653,9.391496802,1.096401248,NA,0.263432907,NA,1,gothic,2896,senbig,
