 ,Area,Mean,Min,Max
1,26.479,255,255,255
2,12.460,255,255,255
3,2.700,255,255,255
4,4.302,255,255,255
5,34.631,255,255,255
6,11.742,255,255,255
7,15.132,255,255,255
8,6.765,255,255,255
9,7.203,255,255,255
10,3.684,255,255,255
11,5.824,255,255,255
12,14.866,255,255,255
13,22.508,255,255,255
14,11.017,255,255,255
15,9.193,255,255,255
16,2.995,255,255,255
17,4.625,255,255,255
18,13.947,255,255,255
19,12.044,255,255,255
20,6.765,255,255,255
21,4.359,255,255,255
22,3.634,255,255,255
23,3.138,255,255,255
24,9.114,255,255,255
25,2.557,255,255,255
26,6.169,255,255,255
27,6.816,255,255,255
28,5.580,255,255,255
29,11.735,255,255,255
30,8.273,255,255,255
31,12.798,255,255,255
32,4.697,255,255,255
33,8.101,255,255,255
34,3.440,255,255,255
35,6.413,255,255,255
36,7.965,255,255,255
37,3.598,255,255,255
38,16.411,255,255,255
39,8.977,255,255,255
40,3.562,255,255,255
41,2.679,255,255,255
42,17.294,255,255,255
43,3.296,255,255,255
44,3.979,255,255,255
45,5.149,255,255,255
46,2.945,255,255,255
47,5.236,255,255,255
48,5.106,255,255,255
49,9.078,255,255,255
50,11.907,255,255,255
