 ,Area,Mean,Min,Max
1,7.749,255,255,255
2,5.458,255,255,255
3,15.233,255,255,255
4,7.333,255,255,255
5,4.359,255,255,255
6,9.839,255,255,255
7,8.051,255,255,255
8,9.954,255,255,255
9,9.897,255,255,255
10,6.428,255,255,255
11,7.053,255,255,255
12,10.184,255,255,255
13,13.509,255,255,255
14,12.468,255,255,255
15,8.101,255,255,255
16,7.541,255,255,255
17,12.475,255,255,255
18,6.528,255,255,255
19,12.698,255,255,255
20,9.502,255,255,255
21,10.277,255,255,255
22,5.918,255,255,255
23,4.596,255,255,255
24,4.783,255,255,255
25,4.194,255,255,255
26,5.408,255,255,255
27,3.361,255,255,255
28,3.627,255,255,255
29,4.359,255,255,255
30,6.018,255,255,255
31,5.279,255,255,255
32,5.947,255,255,255
33,3.634,255,255,255
34,3.67,255,255,255
35,6.823,255,255,255
36,11.477,255,255,255
37,5.939,255,255,255
38,8.963,255,255,255
39,5.889,255,255,255
40,5.322,255,255,255
41,7.764,255,255,255
total,307.608,,,
,3.07608,,,
