 ,Area,Mean,Min,Max
1,9.48,255,255,255
2,7.785,255,255,255
3,6.665,255,255,255
4,27.004,255,255,255
5,5.35,255,255,255
6,5.968,255,255,255
7,10.945,255,255,255
8,5.042,255,255,255
9,15.779,255,255,255
10,18.371,255,255,255
11,23.442,255,255,255
12,10.952,255,255,255
13,11.757,255,255,255
14,18.17,255,255,255
15,24.785,255,255,255
16,10.902,255,255,255
17,4.718,255,255,255
18,10.794,255,255,255
19,8.137,255,255,255
20,21.373,255,255,255
21,8.539,255,255,255
22,12.417,255,255,255
23,3.612,255,255,255
24,12.662,255,255,255
25,13.775,255,255,255
26,15.427,255,255,255
27,13.969,255,255,255
28,10.665,255,255,255
29,15.218,255,255,255
30,10.701,255,255,255
31,19.097,255,255,255
32,4.331,255,255,255
33,8.855,255,255,255
34,7.649,255,255,255
35,8.18,255,255,255
36,37.583,255,255,255
37,20.195,255,255,255
38,4.18,255,255,255
39,4.503,255,255,255
40,12.432,255,255,255
41,2.664,255,255,255
42,15.814,255,255,255
43,28.598,255,255,255
44,17.912,255,255,255
45,5.07,255,255,255
total,571.467,,,
,5.71467,,,
