 ,Area,Mean,Min,Max
1,27.7,255,255,255
2,24.907,255,255,255
3,21.222,255,255,255
4,28.289,255,255,255
5,13.646,255,255,255
6,29.467,255,255,255
7,11.929,255,255,255
8,11.11,255,255,255
9,20.282,255,255,255
10,11.915,255,255,255
11,19.348,255,255,255
12,13.473,255,255,255
13,18.163,255,255,255
14,11.333,255,255,255
15,22.371,255,255,255
16,25.043,255,255,255
17,25.998,255,255,255
18,4.474,255,255,255
19,22.501,255,255,255
20,17.868,255,255,255
21,15.98,255,255,255
22,15.951,255,255,255
23,13.523,255,255,255
24,19.764,255,255,255
25,12.173,255,255,255
26,22.896,255,255,255
27,29.776,255,255,255
28,26.479,255,255,255
29,3.311,255,255,255
30,17.208,255,255,255
31,3.138,255,255,255
32,13.265,255,255,255
33,6.708,255,255,255
34,3.419,255,255,255
35,6.715,255,255,255
36,10.816,255,255,255
37,7.419,255,255,255
38,18.881,255,255,255
39,12.353,255,255,255
40,21.854,255,255,255
41,7.57,255,255,255
42,16.691,255,255,255
43,5.659,255,255,255
44,3.49,255,255,255
45,32.792,255,255,255
46,11.441,255,255,255
47,11.297,255,255,255
48,10.478,255,255,255
49,16.791,255,255,255
50,9.552,255,255,255
51,11.003,255,255,255
52,14.895,255,255,255
53,3.411,255,255,255
54,22.831,255,255,255
55,7.799,255,255,255
56,3.454,255,255,255
57,21.725,255,255,255
58,12.496,255,255,255
59,9.387,255,255,255
60,7.835,255,255,255
61,29.065,255,255,255
62,2.887,255,255,255
63,16.468,255,255,255
64,11.929,255,255,255
65,11.893,255,255,255
66,7.44,255,255,255
67,11.168,255,255,255
68,4.173,255,255,255
69,14.687,255,255,255
70,16.475,255,255,255
71,3.663,255,255,255
72,19.915,255,255,255
73,3.282,255,255,255
74,28.282,255,255,255
75,9.516,255,255,255
76,3.347,255,255,255
total,1097.455,,,
,10.97455,,,
