 ,Area,Mean,Min,Max
1,5.516,255,255,255
2,6.105,255,255,255
3,7.771,255,255,255
4,10.126,255,255,255
5,10.945,255,255,255
6,7.886,255,255,255
7,2.851,255,255,255
8,10.945,255,255,255
9,8.503,255,255,255
10,8.367,255,255,255
11,8.144,255,255,255
12,22.924,255,255,255
13,12.963,255,255,255
14,19.097,255,255,255
15,15.836,255,255,255
16,4.273,255,255,255
17,17.509,255,255,255
18,14.414,255,255,255
19,6.342,255,255,255
20,15.685,255,255,255
21,11.031,255,255,255
22,25.294,255,255,255
23,10.737,255,255,255
24,8.625,255,255,255
25,19.341,255,255,255
26,3.189,255,255,255
27,7.498,255,255,255
28,7.527,255,255,255
29,7.62,255,255,255
30,25.467,255,255,255
31,17.222,255,255,255
32,16.504,255,255,255
33,11.714,255,255,255
34,3.44,255,255,255
35,28.706,255,255,255
36,11.455,255,255,255
37,3.483,255,255,255
38,21.265,255,255,255
39,10.88,255,255,255
40,7.053,255,255,255
41,12.748,255,255,255
42,10.299,255,255,255
43,15.29,255,255,255
44,8.424,255,255,255
45,8.245,255,255,255
46,22.932,255,255,255
47,16.791,255,255,255
48,4.754,255,255,255
49,10.888,255,255,255
50,7.11,255,255,255
51,10.572,255,255,255
52,8.446,255,255,255
53,11.433,255,255,255
54,3.11,255,255,255
55,9.932,255,255,255
56,6.938,255,255,255
57,7.218,255,255,255
58,10.011,255,255,255
59,6.435,255,255,255
60,3.569,255,255,255
61,3.598,255,255,255
62,3.117,255,255,255
total,676.113,,,
,6.76113,,,
