 ,Area,Mean,Min,Max
1,23.987,255,255,255
2,13.926,255,255,255
3,13.531,255,255,255
4,13.344,255,255,255
5,11.692,255,255,255
6,12.36,255,255,255
7,13.674,255,255,255
8,8.625,255,255,255
9,15.779,255,255,255
10,15.297,255,255,255
11,11.132,255,255,255
12,14.967,255,255,255
13,11.01,255,255,255
14,11.261,255,255,255
15,21.395,255,255,255
16,14.033,255,255,255
17,19.154,255,255,255
18,9.724,255,255,255
19,9.875,255,255,255
20,15.024,255,255,255
21,7.914,255,255,255
22,11.857,255,255,255
23,8.036,255,255,255
24,8.51,255,255,255
25,6.5,255,255,255
26,18.874,255,255,255
27,8.273,255,255,255
28,13.093,255,255,255
29,7.325,255,255,255
30,10.155,255,255,255
31,34.889,255,255,255
32,9.839,255,255,255
33,25.733,255,255,255
34,18.788,255,255,255
35,9.868,255,255,255
36,30.903,255,255,255
37,15.024,255,255,255
38,21.438,255,255,255
39,14.558,255,255,255
40,10.256,255,255,255
41,8.352,255,255,255
42,14.852,255,255,255
43,5.53,255,255,255
44,6.78,255,255,255
45,16.396,255,255,255
46,9.229,255,255,255
47,25.338,255,255,255
48,14.098,255,255,255
49,11.304,255,255,255
50,9.43,255,255,255
51,18.307,255,255,255
52,12.769,255,255,255
53,10.112,255,255,255
54,12.891,255,255,255
55,7.606,255,255,255
56,5.142,255,255,255
57,13.567,255,255,255
58,10.909,255,255,255
59,10.809,255,255,255
60,13.538,255,255,255
61,8.475,255,255,255
62,7.318,255,255,255
total,824.375,,,
,8.24375,,,
