,sample,site,species,rep,leaf.id,total.leaf.area,area.less.than.6cm2
34,cbt_potpul_r2,cbt,potpul,2,,6.786,FALSE
35,cbt_potpul_r3,cbt,potpul,3,,4.753,TRUE
36,cbt_taroff_r1,cbt,taroff,1,,47.666,FALSE
37,cbt_taroff_r2,cbt,taroff,2,,13.947,FALSE
38,cbt_taroff_r3,cbt,taroff,3,,43.093,FALSE
39,cinnamon_erygra_r1,cinnamon,erygra,1,,25.621,FALSE
40,cinnamon_erygra_r2,cinnamon,erygra,2,,42.632,FALSE
41,cinnamon_erygra_r3,cinnamon,erygra,3,,35.787,FALSE
42,cinnamon_fuzzy_r1,cinnamon,fuzzy,1,,13.359,FALSE
43,cinnamon_fuzzy_r2,cinnamon,fuzzy,2,,10.88,FALSE
44,cinnamon_fuzzy_r3,cinnamon,fuzzy,3,,49.93,FALSE
45,cinnamon_poa_r2,cinnamon,poa,2,,2.902,TRUE
46,cinnamon_poa_r3,cinnamon,poa,3,,3.159,TRUE
47,cinnamon_poa_r4,cinnamon,poa,4,,5.768,TRUE
48,cinnamon_sen_r1,cinnamon,sen,1,,6.282,FALSE
49,cinnamon_sen_r2,cinnamon,sen,2,,10.862,FALSE
50,cinnamon_sen_r3,cinnamon,sen,3,,38.749,FALSE
51,cinnamon_white_r1,cinnamon,white,1,,3.88,TRUE
52,cinnamon_white_r2,cinnamon,white,2,,3.215,TRUE
53,cinnamon_white_r3,cinnamon,white,3,,4.248,TRUE
54,painter_corcas_r1,painter,corcas,1,,3.594,TRUE
55,painter_corcas_r2,painter,corcas,2,,4.233,TRUE
56,painter_corcas_r3,painter,corcas,3,,7.219,FALSE
57,painter_erygra_r1,painter,erygra,1,,26.342,FALSE
58,painter_erygra_r2,painter,erygra,2,,26.864,FALSE
59,painter_erygra_r3,painter,erygra,3,,35.916,FALSE
60,painter_hymhoo_r1,painter,hymhoo,1,,27.213,FALSE
61,painter_hymhoo_r2,painter,hymhoo,2,,5.145,TRUE
62,painter_hymhoo_r3,painter,hymhoo,3,,34.473,FALSE
63,painter_mercil_r1,painter,mercil,1,,24.497,FALSE
64,painter_mercil_r2,painter,mercil,2,,10.7,FALSE
65,painter_mercil_r3,painter,mercil,3,,14.289,FALSE
66,painter_vercal_r1,painter,vercal,1,,159.693,FALSE
67,painter_vercal_r2,painter,vercal,2,,188.252,FALSE
68,painter_vercal_r3,painter,vercal,3,,221.667,FALSE
69,pfeiler_helqui_r1,pfeiler,helqui,1,,15.74,FALSE
70,pfeiler_helqui_r2,pfeiler,helqui,2,,32.703,FALSE
71,pfeiler_helqui_r3,pfeiler,helqui,3,,55.82,FALSE
72,pfeiler_hersph_r1,pfeiler,hersph,1,,161.844,FALSE
73,pfeiler_hersph_r3,pfeiler,hersph,3,,169.337,FALSE
74,pfeiler_hersph_r4,pfeiler,hersph,4,,236.624,FALSE
75,pfeiler_hymhoo_r1,pfeiler,hymhoo,1,,21.16,FALSE
76,pfeiler_hymhoo_r2,pfeiler,hymhoo,2,,34.186,FALSE
77,pfeiler_hymhoo_r3,pfeiler,hymhoo,3,,8.496,FALSE
78,pfeiler_ligpor_r1,pfeiler,ligpor,1,,2.344,TRUE
79,pfeiler_ligpor_r2,pfeiler,ligpor,2,,4.904,TRUE
80,pfeiler_ligpor_r3,pfeiler,ligpor,3,,4.765,TRUE
81,pfeiler_lupbak_r2,pfeiler,lupbak,2,,15.544,FALSE
82,pfeiler_lupbak_r3,pfeiler,lupbak,3,,7.784,FALSE
83,pfeiler_lupbak_r4,pfeiler,lupbak,4,,5.682,TRUE
84,pfeiler_mercil_r1,pfeiler,mercil,1,,5.881,TRUE
85,pfeiler_mercil_r2,pfeiler,mercil,2,,26.107,FALSE
86,pfeiler_mercil_r3,pfeiler,mercil,3,,22.927,FALSE
87,pfeiler_potgra_r1,pfeiler,potgra,1,,3.397,TRUE
88,pfeiler_potgra_r2,pfeiler,potgra,2,,14.381,FALSE
89,pfeiler_potgra_r3,pfeiler,potgra,3,,8.507,FALSE
90,pfeiler_vercal_r1,pfeiler,vercal,1,,157.515,FALSE
91,pfeiler_vercal_r2,pfeiler,vercal,2,,154.432,FALSE
92,pfeiler_vercal_r3,pfeiler,vercal,3,,170.236,FALSE
93,road_arttri_r1,road,artrri,1,,1.734,TRUE
