,sample,site,species,treatment,plot,rep,total.leaf.area,less.than.6cm2
,almont_achmil_ambient_ss3_r1,almont,achmil,amb,ss3,1,4.17,TRUE
,almont_achmil_amb_ss4_r1,almont,achmil,amb,ss4,1,4.23,TRUE
,almont_achmil_ambient_ss5_r1,almont,achmil,amb,ss5,1,2.87,TRUE
,almont_achmil_warm_p8_r1,almont,achmil,warm,p8,1,4,TRUE
,almont_achmil_warm_p12_r1,almont,achmil,warm,p12,1,2.22,TRUE
,almont_achmil_warm_p28_r1,almont,achmil,warm,p28,1,2.9,TRUE
,almont_poapra_ambient_ss3_r1,almont,poapra,amb,ss3,1,0.87,TRUE
1,almont_poapra_ambient_ss4_r1,almont,poapra,amb,ss4,1,0.89,TRUE
2,almont_poapra_ambient_ss5_r1,almont,poapra,amb,ss5,1,2.157,TRUE
3,almont_poapra_warm_p12_r1,almont,poapra,warm,p12,1,1.533,TRUE
4,almont_poapra_warm_p28_r1,almont,poapra,warm,p28,1,1.597,TRUE
5,almont_poapra_warm_p8_r1,almont,poapra,warm,p8,1,1.749,TRUE
6,almont_potgra_ambient_ss3_r1,almont,potgra,amb,ss3,1,10.874,FALSE
7,almont_potgra_ambient_ss4_r1,almont,potgra,amb,ss4,1,6.962,FALSE
8,almont_potgra_ambient_ss5_r1,almont,potgra,amb,ss5,1,4.264,TRUE
9,almont_potgra_warm_p12_r1,almont,potgra,warm,p12,1,9.659,FALSE
10,almont_potgra_warm_p28_r1,almont,potgra,warm,p28,1,6.053,FALSE
11,almont_potgra_warm_p4_r1,almont,potgra,warm,p4,1,4.677,TRUE
12,almont_taroff_ambient_ss3_r1,almont,taroff,amb,ss3,1,7.005,FALSE
13,almont_taroff_ambient_ss4_r1,almont,taroff,amb,ss4,1,5.998,TRUE
14,almont_taroff_ambient_ss5_r1,almont,taroff,amb,ss5,1,5.935,TRUE
15,almont_taroff_warm_p12_r1,almont,taroff,warm,p12,1,6.996,FALSE
16,almont_taroff_warm_p28_r1,almont,taroff,warm,p28,1,11.379,FALSE
17,almont_taroff_warm_p8_r1,almont,taroff,warm,p8,1,6.19,FALSE
18,almont_wyeamp_ambient_ss3_r1,almont,wyeamp,amb,ss3,1,101.25,FALSE
19,almont_wyeamp_ambient_ss4_r1,almont,wyeamp,amb,ss4,1,108.532,FALSE
20,almont_wyeamp_ambient_ss5_r1,almont,wyeamp,amb,ss5,1,82.811,FALSE
21,almont_wyeamp_warm_p12_r1,almont,wyeamp,warm,p12,1,247.645,FALSE
22,almont_wyeamp_warm_p28_r1,almont,wyeamp,warm,p28,1,178.157,FALSE
23,almont_wyeamp_warm_p8_r1,almont,wyeamp,warm,p8,1,85.254,FALSE
24,cinnamon_arnhar_ambient_ss1_r2,cinnamon,arnhar,amb,ss1,2,12.505,FALSE
25,cinnamon_arnhar_ambient_ss3_r1,cinnamon,arnhar,amb,ss3,1,4.955,TRUE
26,cinnamon_arnhar_ambient_ss4_r3,cinnamon,arnhar,amb,ss4,3,7.791,FALSE
27,cinnamon_arnhar_r1_p16,cinnamon,arnhar,warm,p16,1,4.274,TRUE
28,cinnamon_arnhar_r2_p5,cinnamon,arnhar,warm,p5,2,5.796,TRUE
29,cinnamon_castelleja_r1_p16,cinnamon,castelleja,warm,p16,1,0.826,TRUE
30,cinnamon_castelleja_r3_p25,cinnamon,castelleja,warm,p25,3,1.384,TRUE
31,cinnamon_castilleja_ambient_ss3_r1,cinnamon,castelleja,amb,ss3,1,1.779,TRUE
32,cinnamon_castilleja_ambient_ss4_r3,cinnamon,castelleja,amb,ss4,3,5.003,TRUE
33,cinnamon_erygra_ambient_ss1_r2,cinnamon,erygra,amb,ss1,2,27.352,FALSE
34,cinnamon_erygra_ambient_ss3_r1,cinnamon,erygra,amb,ss3,1,22.963,FALSE
35,cinnamon_erygra_ambient_ss3_r3,cinnamon,erygra,amb,ss3,3,9.349,FALSE
36,cinnamon_erygra_r1_p16,cinnamon,erygra,warm,p16,1,28.739,FALSE
37,cinnamon_erygra_r2_p5,cinnamon,erygra,warm,p5,2,32.232,FALSE
38,cinnamon_erygra_r3_p25,cinnamon,erygra,warm,p25,3,31.08,FALSE
39,cinnamon_poaalp_ambient_ss2_r2,cinnamon,poaalp,amb,ss2,2,4.023,TRUE
,cinnamon_poaalp_ambient_ss3_r1,cinnamon,poaalp,amb,ss3,1,0.9,TRUE
40,cinnamon_poaalp_ambient_ss4_r3,cinnamon,poaalp,amb,ss4,3,3.26,TRUE
41,cinnamon_poaalp_r1_p16,cinnamon,poaalp,warm,p16,1,2.387,TRUE
42,cinnamon_poaalp_r2_p5,cinnamon,poaalp,warm,p5,2,3.26,TRUE
43,cinnamon_poaalp_r3_p25,cinnamon,poaalp,warm,p25,3,1.522,TRUE
44,cinnamon_sencra_ambient_ss1_r2,cinnamon,sencra,amb,ss1,2,23.676,FALSE
45,cinnamon_sencra_ambient_ss3_r1,cinnamon,sencra,amb,ss3,1,13.935,FALSE
46,cinnamon_sencra_ambient_ss4_r3,cinnamon,sencra,amb,ss4,3,8.546,FALSE
47,cinnamon_sencra_r1_p16,cinnamon,sencra,warm,p16,1,17.054,FALSE
48,cinnamon_sencra_r2_p5,cinnamon,sencra,warm,p5,2,8.4,FALSE
49,cinnamon_sencra_r3_p25,cinnamon,sencra,warm,p25,3,9.655,FALSE
50,gothic_delbar_r1,gothic,delbar,,,1,4.059,TRUE
51,gothic_delbar_r2,gothic,delbar,,,2,12.079,FALSE
52,gothic_delbar_r3,gothic,delbar,,,3,5.795,TRUE
53,gothic_hersph_r1_part1,gothic,hersph,,,1,192.861,FALSE
54,gothic_hersph_r1_part2,gothic,hersph,,,1,180.401,FALSE
55,gothic_hersph_r2,gothic,hersph,,,2,100.444,FALSE
56,gothic_hersph_r3,gothic,hersph,,,3,94.738,FALSE
57,gothic_hymhoo_r1,gothic,hymhoo,,,1,4.015,TRUE
58,gothic_hymhoo_r2,gothic,hymhoo,,,2,27.095,FALSE
59,gothic_hymhoo_r3,gothic,hymhoo,,,3,7.056,FALSE
60,gothic_ligpor_r1,gothic,ligpor,,,1,2.494,TRUE
61,gothic_ligpor_r2,gothic,ligpor,,,2,13.969,FALSE
62,gothic_ligpor_r3,gothic,ligpor,,,3,6.746,FALSE
63,gothic_mercil_r1,gothic,mercil,,,1,5.961,TRUE
64,gothic_mercil_r2,gothic,mercil,,,2,16.724,FALSE
65,gothic_mercil_r3,gothic,mercil,,,3,10.451,FALSE
66,gothic_potgra_r1,gothic,potgra,,,1,2.751,TRUE
67,gothic_potgra_r2,gothic,potgra,,,2,11.216,FALSE
68,gothic_potgra_r4,gothic,potgra,,,4,17.856,FALSE
69,gothic_sen_r1,gothic,sen,,,1,2.28,TRUE
70,gothic_sen_r2,gothic,sen,,,2,8.871,FALSE
71,gothic_sen_r3,gothic,sen,,,3,8.06,FALSE
72,gothic_taroff_r1,gothic,taroff,,,1,29.65,FALSE
73,gothic_taroff_r2,gothic,taroff,,,2,51.147,FALSE
74,gothic_taroff_r3,gothic,taroff,,,3,65.617,FALSE
75,gothic_vercal_r1,gothic,vercal,,,1,163.282,FALSE
76,gothic_vercal_r2,gothic,vercal,,,2,113.347,FALSE
77,gothic_vercal_r3,gothic,vercal,,,3,172.008,FALSE
