site,plot,treatment,individual,type,obs,time,elapsed,date,hhmmss,rep name,TIME,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,blfa_1,blfa_2,blfa_3,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Fo,Fm,Fv,Fv/Fm,Adark,LightAdaptedID,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,Afs,ETR,Fv'/Fm',PhiCO2,NPQ,DarkPulseID,Fo',Fv',qP,qN,qP_Fo,qN_Fo,ID,P1_dur,P2_dur,P3_dur,P1_Qmax,P1_Fmax,P2_dQdt,P3_ΔF,Qin,Qabs,alpha,convert,S,K,Geometry,TIME,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time,hhmmss,count,co2_adj,h2o_adj,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,F:MN,F:SLP,F:SD,F:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,MatchValveR,MatchValveS,MatchCO2,MatchH2O,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
Cinnamon,1,Control,ery_1,p,1,1625843751,0,20210709 10:15:51,10:15:51,default,1625843743,0.006977067,14.94413162,382.2815161,312.9787911,21.32023397,26.04116189,0.450441871,1.722657679,0.393827353,0.250633299,241.6679611,23.85832245,22.38452258,2.716376417,50.16263279,1.547319917,3.08460667,1.1690565,-307.6886705,195.7080999,23.65532239,153.3427129,-0.02823782,0.031699427,2.549022649,82,14,1,0,36310.65293,0,0,0,0,#DIV/0!,-1,RECT-7436-20210709-10_15_53,2.394134615,3.1216,0.233042473,0.5,1261.181574,14.94413162,146.9544367,1,0.012642217,-1,-,0,3.1216,0.233042473,#DIV/0!,0.233042473,#DIV/0!,-,-,-,-,-,-,-,-,1499.96,1261.181574,0.840810138,0.191620276,6,0.5,0: Broadleaf,1625843743,382.2815161,399.8926774,22.71449355,15.89597419,600.0059355,68.06781613,0.052563213,24.4918129,22.38452258,999.9,10004.26935,0,1292.115806,1499.96,0.972995548,0.027004155,0,2.373667742,0,13619.01935,12499.40968,34.05822581,37.9816129,35.53403226,36.36867742,34.34651613,1459.453871,40.50580645,0,1625847320,2.394134615,0.094711105,-308.878632,13616.34231,15,1625843679,10:14:38,1,4.859,-1.272,399,16,0.14,0.02,-17.58145686,-0.392781802,0.063319607,1,2.405744186,0.023369756,0.184196186,1,6.811592745,0.079600705,0.00995691,1,3,3,3/3,100,100,4.859,-1.272,2,687.483,365.621,23.5373,23.5122,30.0009,23.2458,23.1954,24.8101,-30,-30,-999.9,400,20,112.229,99.5937
Cinnamon,1,Control,ery_1,p,2,1625843755,3.699999809,20210709 10:15:55,10:15:55,default,1625843745,0.006981105,14.945219,382.2811613,312.8025707,21.30822961,26.04113752,0.44923215,1.722188524,0.392887759,0.250025871,241.6664834,23.86541647,22.40795161,2.720248852,50.1498827,1.547756755,3.086261964,1.172492097,-307.8667121,194.3118185,23.49679835,151.6083881,-0.028227236,0.031687546,2.548243756,82,14,1,0,36296.50595,0,0,0,0,#DIV/0!,-1,RECT-7437-20210709-10_15_56,2.305542308,1.848,-0.247587829,0.5,1261.173968,14.945219,-156.1256623,1,0.012643156,-1,-,0,1.848,-0.247587829,#DIV/0!,-0.247587829,#DIV/0!,-,-,-,-,-,-,-,-,1499.950968,1261.173968,0.84081013,0.19162026,6,0.5,0: Broadleaf,1625843745,382.2811613,399.8950323,22.72090645,15.89845484,600.0031613,68.06780645,0.052572368,24.50077742,22.40795161,999.9,10000.52097,0,1292.49,1499.950968,0.97299571,0.027003971,0,2.397616129,0,13627.27742,12499.33548,34.08041935,37.99774194,35.55219355,36.38480645,34.36264516,1459.445484,40.50516129,0,2.799999952,2.305542308,-1.912010903,134087.278,22075.08077,15,1625843679,10:14:38,1,4.859,-1.272,399,16,0.14,0.02,-17.59773529,-0.177029933,0.03987437,1,2.331516279,-0.900842102,0.430123068,1,6.81655902,0.08579625,0.011177626,1,3,3,3/3,100,100,4.859,-1.272,2,687.967,365.633,23.549,23.5209,30.0006,23.2548,23.2046,24.8139,-30,-30,-999.9,400,20,112.226,99.5942
Cinnamon,1,Control,ery_1,p,3,1625843758,7,20210709 10:15:58,10:15:58,default,1625843746,0.007006624,14.97868369,382.2389032,312.2507797,21.27063982,26.03825696,0.446723798,1.722193771,0.3909654,0.248780749,241.6649693,23.87286698,22.47927097,2.732066524,50.15560541,1.549624896,3.089634515,1.182441628,-308.9921312,189.3852346,22.91135669,144.9694295,-0.028227355,0.031687678,2.548252467,81,13,1,0,36294.42527,0,0,0,0,#DIV/0!,-1,RECT-7438-20210709-10_16_00,2.170319231,3.0984,0.299535492,0.5,1261.166342,14.97868369,188.8820406,1,0.012669767,-1,-,0,3.0984,0.299535492,#DIV/0!,0.299535492,#DIV/0!,-,-,-,-,-,-,-,-,1499.941935,1261.166342,0.840810109,0.191620218,6,0.5,0: Broadleaf,1625843746,382.2389032,399.8957419,22.74833226,15.90111613,600.0016774,68.06780645,0.052567319,24.51902903,22.47927097,999.9,10000.5629,0,1293.035161,1499.941935,0.972996419,0.027003235,0,2.425635484,0,13619.58387,12499.26129,34.11674194,38.01587097,35.5723871,36.40293548,34.38277419,1459.437742,40.50387097,0,2.5,2.170319231,-1.997741002,176944.6918,30214.95,15,1625843679,10:14:38,1,4.859,-1.272,399,16,0.14,0.02,-17.63890196,-0.597437451,0.119510401,0,2.267104651,-1.380006612,0.53340811,0,6.838931569,0.316425007,0.0621345,0,0,3,0/3,100,100,4.859,-1.272,2,688.37,365.615,23.5608,23.53,30.0007,23.2638,23.2148,24.8191,-30,-30,-999.9,400,20,112.223,99.5932
Cinnamon,1,Control,ery_1,p,4,1625843761,10,20210709 10:16:01,10:16:01,default,1625843747,0.007031214,15.00119246,382.2063871,311.9016479,21.24685936,26.03604504,0.445317054,1.722267704,0.389888118,0.248082901,241.6636097,23.87526457,22.53375484,2.74112479,50.173108,1.551351822,3.09199865,1.189772968,-310.0765515,185.5214824,22.45059367,139.5591343,-0.028229022,0.031689551,2.548375207,81,13,1,0,36294.92308,0,0,0,0,#DIV/0!,-1,RECT-7439-20210709-10_16_03,2.048369231,2.2428,0.086691087,0.5,1261.159529,15.00119246,54.66564504,1,0.012687683,-1,-,0,2.2428,0.086691087,#DIV/0!,0.086691087,#DIV/0!,-,-,-,-,-,-,-,-,1499.933871,1261.159529,0.840810088,0.191620175,6,0.5,0: Broadleaf,1625843747,382.2063871,399.8949032,22.77368065,15.9026129,600.0017419,68.06783226,0.052549603,24.5318129,22.53375484,999.9,10001.15,0,1293.284516,1499.933871,0.972996968,0.027002684,0,2.41816129,0,13609.62903,12499.19677,34.14296774,38.02393548,35.58448387,36.411,34.39487097,1459.430968,40.50258065,0,2,2.048369231,-2.704336964,174426.4307,38243.53846,15,1625843679,10:14:38,1,4.859,-1.272,399,16,0.14,0.02,-17.74830196,-1.636468381,0.272521742,0,2.191095349,-1.676981028,0.610335401,0,6.910959804,1.070575637,0.182372069,0,0,3,0/3,100,100,4.859,-1.272,2,688.696,365.727,23.5711,23.5374,30.0008,23.2716,23.2235,24.8206,-30,-30,-999.9,400,20,112.222,99.5917
Cinnamon,1,Control,ery_1,p,5,1625843764,13,20210709 10:16:04,10:16:04,default,1625843748,0.007066276,15.0286068,382.1667419,311.5066498,21.21992776,26.03331473,0.443892343,1.722218751,0.388792766,0.247373733,241.6614293,23.8762477,22.60333226,2.752730648,50.20417814,1.553785026,3.094931703,1.198945623,-311.6227905,180.5275623,21.85631183,132.4225129,-0.028227918,0.031688311,2.548293937,81,13,1,0,36291.6267,0,0,0,0,#DIV/0!,-1,RECT-7440-20210709-10_16_06,1.957830769,2.1064,0.070532297,0.5,1261.148139,15.0286068,44.47583766,1,0.012709535,-1,-,0,2.1064,0.070532297,#DIV/0!,0.070532297,#DIV/0!,-,-,-,-,-,-,-,-,1499.920323,1261.148139,0.840810088,0.191620177,6,0.5,0: Broadleaf,1625843748,382.1667419,399.8958065,22.80942581,15.90434194,600.0012903,68.06776452,0.052539729,24.54766129,22.60333226,999.9,10000.76871,0,1293.483226,1499.920323,0.972996839,0.027002842,0,2.40046129,0,13597.20323,12499.08387,34.17319355,38.03403226,35.5986129,36.42109677,34.40896774,1459.417742,40.50225806,0,2.5,1.957830769,-0.279821836,30448.34187,46146.80385,15,1625843679,10:14:38,1,4.859,-1.272,399,16,0.14,0.02,-17.87801961,-2.773100008,0.404455374,0,2.147013953,-1.900457589,0.637491517,0,7.014164314,2.022625138,0.305281413,0,0,3,0/3,100,100,4.859,-1.272,2,688.921,365.66,23.5814,23.5448,30.0007,23.2794,23.2323,24.8256,-30,-30,-999.9,400,20,112.218,99.5916
Cinnamon,1,Control,ery_1,p,6,1625843768,16.0999999,20210709 10:16:07,10:16:07,default,1625843748,0.007110721,15.06121963,382.1170645,311.0740535,21.19043448,26.02990037,0.44252081,1.72228339,0.387740592,0.246692302,241.660227,23.87595361,22.68525806,2.766451381,50.24748028,1.556846208,3.098356772,1.209605173,-313.5827918,174.6442427,21.15395533,123.8756332,-0.028229376,0.031689948,2.548401248,81,14,1,0,36291.1684,0,0,0,0,#DIV/0!,-1,RECT-7441-20210709-10_16_09,1.668296154,2.418,0.310051218,0.5,1261.141897,15.06121963,195.5092909,1,0.012735458,-1,-,0,2.418,0.310051218,#DIV/0!,0.310051218,#DIV/0!,-,-,-,-,-,-,-,-,1499.912903,1261.141897,0.840810086,0.191620172,6,0.5,0: Broadleaf,1625843748,382.1170645,399.8953871,22.85439032,15.90619032,600.0008387,68.0677129,0.052511977,24.56615161,22.68525806,999.9,10001.2929,0,1293.7,1499.912903,0.972996871,0.027002816,0,2.402777419,0,13582.97742,12499.02258,34.20745161,38.04612903,35.61474194,36.43319355,34.42509677,1459.410645,40.50193548,0,2.300000191,1.668296154,-6.121340578,-39829.07601,49462.6,15,1625843679,10:14:38,1,4.859,-1.272,399,16,0.14,0.02,-18.07053529,-3.896054437,0.52328951,0,1.929309302,-4.22277324,4.00455545,0,7.178919608,3.27966539,0.446677608,0,0,3,0/3,100,100,4.859,-1.272,2,689.186,365.626,23.592,23.5523,30.0007,23.2872,23.2402,24.8287,-30,-30,-999.9,400,20,112.217,99.5923
Cinnamon,1,Control,ery_1,p,7,1625843770,19,20210709 10:16:10,10:16:10,default,1625843749,0.007162846,15.09962353,382.0609032,310.6220815,21.1596223,26.02604544,0.441312699,1.722261964,0.38681096,0.246090486,241.6607056,23.87447139,22.77556774,2.781645527,50.30092278,1.56042011,3.102169948,1.221225418,-315.8815199,168.1661909,20.38095625,114.3263328,-0.028228893,0.031689405,2.548365678,81,14,1,0,36288.06312,0,0,0,0,#DIV/0!,-1,RECT-7442-20210709-10_16_12,1.650423077,2.7952,0.409550989,0.5,1261.144587,15.09962353,258.2515062,1,0.012765882,-1,-,0,2.7952,0.409550989,#DIV/0!,0.409550989,#DIV/0!,-,-,-,-,-,-,-,-,1499.916129,1261.144587,0.840810071,0.191620143,6,0.5,0: Broadleaf,1625843749,382.0609032,399.897129,22.90688065,15.90812903,600.0013871,68.06764516,0.052503277,24.58671613,22.77556774,999.9,10001.13161,0,1293.938065,1499.916129,0.972997258,0.027002423,0,2.405232258,0,13563.27097,12499.05161,34.24777419,38.05822581,35.63087097,36.44529032,34.44325806,1459.414516,40.50129032,0,2.099999905,1.650423077,-2.172658001,-91602.1458,52978.42692,15,1625843679,10:14:38,1,4.859,-1.272,399,16,0.14,0.02,-18.26416863,-4.799753217,0.614913981,0,1.88407907,-2.685301164,4.005265795,0,7.352342745,4.261797838,0.548690094,0,0,3,0/3,100,100,4.859,-1.272,2,689.452,365.607,23.6026,23.5602,30.0008,23.295,23.2484,24.8306,-30,-30,-999.9,400,20,112.215,99.5931
Cinnamon,1,Control,ery_1,p,8,1625843774,22.0999999,20210709 10:16:13,10:16:13,default,1625843751,0.00722053,15.13667235,382.0034516,310.1743953,21.12911193,26.02211469,0.440168423,1.722367199,0.385933319,0.24552206,241.6608238,23.87258694,22.87253871,2.798041644,50.3606419,1.564373124,3.106340716,1.23366852,-318.4253785,161.2583753,19.55435607,104.0481767,-0.028231267,0.03169207,2.548540387,81,14,1,0,36288.24946,0,0,0,0,#DIV/0!,-1,RECT-7443-20210709-10_16_15,1.651630769,2.386,0.307782578,0.5,1261.145381,15.13667235,194.0792882,1,0.012795252,-1,-,0,2.386,0.307782578,#DIV/0!,0.307782578,#DIV/0!,-,-,-,-,-,-,-,-,1499.917097,1261.145381,0.840810058,0.191620116,6,0.5,0: Broadleaf,1625843751,382.0034516,399.8983548,22.96492581,15.91022903,600.0012258,68.06760645,0.052497119,24.60918387,22.87253871,999.9,10001.97839,0,1294.234516,1499.917097,0.972997645,0.027002029,0,2.402225806,0,13542.7129,12499.06129,34.29212903,38.07235484,35.649,36.45941935,34.46341935,1459.416129,40.50064516,0,2.399999857,1.651630769,0.475827625,-129707.213,52511.26923,15,1625843679,10:14:38,1,4.859,-1.272,399,16,0.14,0.02,-18.46202941,-5.256441043,0.65667107,0,1.810172093,-1.819175677,4.008762824,0,7.548104118,4.951461511,0.616936739,0,0,3,0/3,100,100,4.859,-1.272,2,689.636,365.623,23.6132,23.5676,30.0008,23.3027,23.2563,24.8341,-30,-30,-999.9,400,20,112.212,99.5917
Cinnamon,1,Control,ery_1,p,9,1625843777,25.0999999,20210709 10:16:16,10:16:16,default,1625843752,0.007283132,15.17687878,381.9393226,309.7166436,21.09790907,26.0177206,0.439146587,1.72246975,0.385149331,0.245014308,241.6606846,23.87027799,22.97434839,2.81534683,50.42569842,1.568654796,3.110824134,1.246692033,-321.1861316,154.053814,18.69149084,93.2198578,-0.028233581,0.031694668,2.548710644,80,13,1,0,36288.15919,0,0,0,0,#DIV/0!,-1,RECT-7444-20210709-10_16_18,1.609065385,2.0488,0.214630328,0.5,1261.14482,15.17687878,135.339963,1,0.012827138,-1,-,0,2.0488,0.214630328,#DIV/0!,0.214630328,#DIV/0!,-,-,-,-,-,-,-,-,1499.916452,1261.14482,0.840810045,0.191620091,6,0.5,0: Broadleaf,1625843752,381.9393226,399.8978387,23.02780323,15.91241613,600.0025806,68.06755806,0.052478445,24.63330645,22.97434839,999.9,10002.80516,0,1294.486129,1499.916452,0.972998065,0.027001639,0,2.411222581,0,13521.56774,12499.05806,34.34251613,38.08848387,35.66712903,36.47351613,34.4856129,1459.416129,40.5,0,2.200000048,1.609065385,0.107397218,-95649.0698,52141.44231,15,1625843679,10:14:38,1,4.859,-1.272,399,16,0.14,0.02,-18.67319216,-5.167857731,0.645953702,0,1.712130233,-1.202419442,4.015626135,0,7.762128824,5.235055433,0.643422694,0,0,3,0/3,100,100,4.859,-1.272,2,689.874,365.521,23.6228,23.575,30.0009,23.31,23.2636,24.8379,-30,-30,-999.9,400,20,112.209,99.5908
Cinnamon,1,Control,sen_1,p,10,1625844143,391.5999999,20210709 10:22:23,10:22:23,default,1625844135,0.006423717,20.10740043,377.4391613,246.7328077,16.80812433,25.71220426,0.292397147,1.723006596,0.267366921,0.169174275,241.6750886,25.22084607,24.61840645,3.108054156,46.28705409,1.52702745,3.299037885,1.581026706,-283.285933,92.99680683,11.4304255,62.81638792,-0.028245693,0.031708265,2.54960195,85,14,1,0,36183.25662,0,0,0,0,#DIV/0!,-1,RECT-7445-20210709-10_22_24,2.510430769,2.3916,-0.049686724,0.5,1261.223119,20.10740043,-31.33302255,1,0.016735659,-1,-,0,2.3916,-0.049686724,#DIV/0!,-0.049686724,#DIV/0!,-,-,-,-,-,-,-,-,1500.01,1261.223119,0.840809808,0.191619615,6,0.5,0: Broadleaf,1625844135,377.4391613,399.971129,22.4158129,16.1360871,599.999871,68.07054194,0.052236252,25.61954839,24.61840645,999.9,10006.65774,0,110.0828065,1500.01,0.973008677,0.026991668,0,2.520619355,0,12196.61935,12499.86129,39.20948387,41.788,40.55209677,40.13493548,39.02193548,1459.519355,40.49064516,0,365.7,2.510430769,0.043015394,167.5213684,12198.24615,15,1625844083,10:21:23,2,5.4,-1.265,400,16,0.19,0.02,-22.56078235,0.239597548,0.068127521,1,2.463074419,0.444091346,0.199078489,1,6.301627451,-0.235018359,0.028866654,0,2,3,2/3,100,100,5.4,-1.265,2,682.328,362.647,24.3368,24.031,30.0004,23.8666,23.8234,25.0992,-30,-30,-999.9,400,20,112.009,99.5975
