 ,Area,Mean,Min,Max
1,17.94,255,255,255
2,8.51,255,255,255
3,19.692,255,255,255
4,10.299,255,255,255
5,19.218,255,255,255
6,3.943,255,255,255
7,19.8,255,255,255
8,26.12,255,255,255
9,17.847,255,255,255
10,24.511,255,255,255
11,22.35,255,255,255
12,3.627,255,255,255
13,15.024,255,255,255
14,19.944,255,255,255
15,20.985,255,255,255
16,18.586,255,255,255
17,9.013,255,255,255
18,12.123,255,255,255
19,1.12,255,255,255
20,13.028,255,255,255
21,4.805,255,255,255
22,12.288,255,255,255
23,10.794,255,255,255
24,27.212,255,255,255
25,14.148,255,255,255
26,19.714,255,255,255
27,4.424,255,255,255
28,16.834,255,255,255
29,5.128,255,255,255
30,1.436,255,255,255
31,2.708,255,255,255
total,423.171,,,
,4.23171,,,
