 ,Area,Mean,Min,Max
1,5.803,255,255,255
2,21.739,255,255,255
3,17.811,255,255,255
4,7.677,255,255,255
5,3.627,255,255,255
6,25.136,255,255,255
7,19.901,255,255,255
8,19.843,255,255,255
9,17.042,255,255,255
10,14.22,255,255,255
11,21.61,255,255,255
12,17.035,255,255,255
13,17.717,255,255,255
14,21.409,255,255,255
15,2.162,255,255,255
16,13.581,255,255,255
17,7.096,255,255,255
18,9.451,255,255,255
19,14.751,255,255,255
20,1.056,255,255,255
21,7.799,255,255,255
total,286.466,,,
,2.86466,,,
