"","sample","total.leaf.area"
"1","almont_control_1_achmil_1_p",1.823
"2","almont_control_1_achmil_3_t",9.958
"3","almont_control_1_geutri_1_ms",5.163
"4","almont_control_1_geutri_1_p",3.477
"5","almont_control_1_poa_2_t",25.363
"6","almont_control_1_wyeamp_1_ms",120.214
"7","almont_control_1_wyeamp_1_p",103.495
"8","almont_control_1_wyeamp_2_ms",103.817
"9","almont_control_1_wyeamp_2_p",63.385
"10","almont_control_2_arttri_1_t",15.04
"11","almont_control_2_chrvis_2_t",14.524
"12","almont_control_2_gervis_1_ms",10.429
"13","almont_control_2_gervis_1_p",6.757
"14","almont_control_2_latleu_2_t",4.399
"15","almont_control_2_poa_3_t",48.135
"16","almont_control_2_wyeamp_3_ms",136.657
"17","almont_control_2_wyeamp_3_p",97.558
"18","almont_control_2_wyeamp_4_p",91.553
"19","almont_control_2_wyeamp_5_p",166.196
"20","almont_control_3_achmil_2_t",11.107
"21","almont_control_3_adelew_2_t",24.788
"22","almont_control_3_arttri_2_t",22.16
"23","almont_control_3_gervis_2_ms",22.679
"24","almont_control_3_gervis_2_p",3.451
"25","almont_control_3_gervis_4_ms",22.036
"26","almont_control_3_gervis_4_p",3.017
"27","almont_control_3_poa_1_t",16.332
"28","almont_control_4_arttri_4_t",13.373
"29","almont_control_4_chrvis_1_t",9.391
"30","almont_control_4_eriumb_1_t",4.764
"31","almont_control_4_gervis_3_ms",20.214
"32","almont_control_4_gervis_3_p",3.909
"33","almont_control_4_irimis_1_ms",23.415
"34","almont_control_4_latleu_1_t",6.206
"35","almont_control_5_achmil_4_t",5.543
"36","almont_control_5_adelew_1_t",26.666
"37","almont_control_5_latleu_3_t",4.78
"38","almont_control_5_poa_4_t",16.664
"39","almont_control_5_roswoo_1_t",11.38
"40","almont_control_5_wyeamp_4_ms",143.965
"41","almont_outside_0_gervis_1_t",21.036
"42","almont_outside_0_gervis_2_t",15.045
"43","almont_outside_0_gervis_3_t",14.311
"44","almont_outside_0_gervis_4_t",12.802
"45","almont_outside_0_gervis_5_t",17.092
"46","almont_outside_0_poa_1_t",43.598
"47","almont_outside_0_poa_2_t",55.182
"48","almont_outside_0_poa_3_t",89.513
"49","almont_outside_0_poa_4_t",45.249
"50","almont_outside_0_poa_5_t",55.454
"51","almont_outside_0_wyeamp_1_t",144.698
"52","almont_outside_0_wyeamp_2_t",90.127
"53","almont_outside_0_wyeamp_3_t",57.78
"54","almont_outside_0_wyeamp_4_t",75.204
"55","almont_outside_0_wyeamp_5_t",146.363
"56","almont_warming_16_wyeamp_2_ms",172.939
"57","almont_warming_16_wyeamp_2_p",180.864
"58","almont_warming_20_wyeamp_3_ms",113.787
"59","almont_warming_20_wyeamp_3_p",72.739
"60","almont_warming_24_wyeamp_4_ms",89.207
"61","almont_warming_24_wyeamp_4_p",102.037
"62","almont_warming_28_wyeamp_5_ms",185.581
"63","almont_warming_28_wyeamp_5_p",147.071
"64","almont_warming_4_wyeamp_1_ms",131.839
"65","almont_warming_4_wyeamp_1_p",122.349
"66","gothiccamp_control_1_delphinium_1_ms",33.269
"67","gothiccamp_control_1_delphinium_1_p",3.512
"68","gothiccamp_control_1_elymus_1_t",30.157
"69","gothiccamp_control_1_maple_1_ms",26.431
"70","gothiccamp_control_1_maple_1_p",31.818
"71","gothiccamp_control_1_mercil_1_t",11.849
"72","gothiccamp_control_1_taroff_1_t",15.252
"73","gothiccamp_control_1_thafen_1_t",12.711
"74","gothiccamp_control_1_valeriana_1_t",23.294
"75","gothiccamp_control_1_veratrum_1_ms",86.618
"76","gothiccamp_control_1_veratrum_1_p",106.119
"77","gothiccamp_control_2_delphinium_2_ms",17.284
"78","gothiccamp_control_2_delphinium_2_p",3.239
"79","gothiccamp_control_2_elymus_2_t",37.606
"80","gothiccamp_control_2_maple_2_ms",33.561
"81","gothiccamp_control_2_maple_2_p",69.287
"82","gothiccamp_control_2_mercil_2_t",19.785
"83","gothiccamp_control_2_thafen_2_t",17.985
"84","gothiccamp_control_2_veratrum_2_ms",78.608
"85","gothiccamp_control_2_veratrum_2_p",128.383
"86","gothiccamp_control_3_delphinium_3_ms",25.821
"87","gothiccamp_control_3_delphinium_3_p",4.553
"88","gothiccamp_control_3_maple_3_ms",49.802
"89","gothiccamp_control_3_maple_3_p",58.723
"90","gothiccamp_control_3_taroff_3_t",30.133
"91","gothiccamp_control_3_valeriana_3_t",16.39
"92","gothiccamp_control_3_veratrum_3_ms",191.34
"93","gothiccamp_control_3_veratrum_3_p",147.071
"94","gothiccamp_control_4_delphinium_4_ms",18.586
"95","gothiccamp_control_4_delphinium_4_p",3.592
"96","gothiccamp_control_4_elymus_4_t",45.884
"97","gothiccamp_control_4_maple_4_ms",21.861
"98","gothiccamp_control_4_maple_4_p",33.253
"99","gothiccamp_control_4_taroff_4_t",33.95
"100","gothiccamp_control_4_thafen_4_t",19.845
"101","gothiccamp_control_4_veratrum_4_ms",93.816
"102","gothiccamp_control_4_veratrum_4_p",65.587
"103","gothiccamp_control_5_delphinium_5_ms",28.337
"104","gothiccamp_control_5_delphinium_5_p",5.174
"105","gothiccamp_control_5_elymus_5_t",57.933
"106","gothiccamp_control_5_maple_5_ms",22.75
"107","gothiccamp_control_5_maple_5_p",30.055
"108","gothiccamp_control_5_thafen_5_t",20.252
"109","gothiccamp_control_5_veratrum_5_ms",65.19
"110","gothiccamp_control_5_veratrum_5_p",105.773
