 ,Area,Mean,Min,Max
1,55.422,255,255,255
2,19.85,255,255,255
3,16.317,255,255,255
4,19.06,255,255,255
5,9.968,255,255,255
6,9.94,255,255,255
7,3.986,255,255,255
8,12.884,255,255,255
9,12.446,255,255,255
10,19.19,255,255,255
11,15.9,255,255,255
12,10.787,255,255,255
13,16.971,255,255,255
14,18.486,255,255,255
15,4.56,255,255,255
16,9.214,255,255,255
17,10.643,255,255,255
18,2.564,255,255,255
19,11.046,255,255,255
20,6.399,255,255,255
21,7.857,255,255,255
22,18.809,255,255,255
23,3.296,255,255,255
24,7.368,255,255,255
25,5.753,255,255,255
26,12.934,255,255,255
27,5.379,255,255,255
28,7.088,255,255,255
29,17.811,255,255,255
30,13.638,255,255,255
31,10.083,255,255,255
32,5.35,255,255,255
33,7.893,255,255,255
34,3.268,255,255,255
35,5.056,255,255,255
total,417.216,,,
,4.17216,,,
