 ,Area,Mean,Min,Max
1,22.472,255,255,255
2,17.854,255,255,255
3,21.265,255,255,255
4,18.981,255,255,255
5,16.303,255,255,255
6,14.004,255,255,255
7,11.721,255,255,255
8,20.913,255,255,255
9,16.339,255,255,255
10,21.847,255,255,255
11,21.653,255,255,255
12,18.342,255,255,255
13,4.668,255,255,255
14,20.719,255,255,255
15,10.428,255,255,255
16,19.175,255,255,255
17,17.775,255,255,255
18,14.335,255,255,255
19,15.283,255,255,255
20,18.967,255,255,255
21,11.096,255,255,255
22,17.114,255,255,255
23,4.259,255,255,255
24,6.234,255,255,255
25,2.973,255,255,255
26,2.787,255,255,255
27,3.849,255,255,255
28,9.027,255,255,255
