Latitude: 36.654554  Longitude: -106.860899
X & Y on Lambert Conformal Conic: -588131.34 -596176.65
Tile: 11377
Elevation: 2213 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 

year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2022,22,35692.44,0.00,317.53,11.97,6.55,-8.90,261.63
2022,23,35782.74,0.00,339.53,11.97,7.40,-9.68,235.01
2022,24,35875.15,0.00,340.48,11.97,7.88,-9.07,243.76
2022,25,35969.62,4.55,258.82,16.52,6.02,-11.09,244.78
2022,26,36066.09,0.00,311.62,16.52,2.87,-11.38,232.63
2022,27,36164.53,0.00,320.65,16.52,3.10,-11.57,225.36
2022,28,36264.88,0.00,371.67,16.52,3.95,-14.65,162.79
2022,29,36367.10,0.00,389.99,16.52,7.44,-13.01,170.21
2022,30,36471.13,0.00,384.72,16.52,8.21,-11.28,193.36
2022,31,36576.93,0.00,375.39,16.52,7.84,-10.57,208.12
2022,32,36684.45,6.40,229.75,22.92,3.55,-9.43,299.08
2022,33,36793.64,10.50,227.41,33.42,-0.50,-12.82,228.05
2022,34,36904.46,0.00,310.14,33.42,-4.08,-16.45,168.94
2022,35,37016.86,0.00,417.61,33.42,0.12,-20.25,110.56
2022,36,37130.78,0.00,430.76,33.42,3.12,-18.85,116.57
2022,37,37246.20,0.00,409.58,33.42,2.03,-17.24,138.10
2022,38,37363.05,0.00,433.55,33.42,5.31,-16.74,132.62
2022,39,37481.29,0.00,432.30,33.42,8.18,-13.59,162.47
2022,40,37600.89,0.00,418.68,33.42,8.14,-11.83,189.62
2022,41,37721.78,0.00,404.26,33.42,8.67,-9.72,225.39
2022,42,37843.95,0.00,408.54,33.42,10.35,-8.23,244.13
2022,43,37967.32,0.00,377.26,33.42,5.50,-10.36,232.21
2022,44,38091.88,0.00,434.64,33.42,9.40,-10.95,192.66
2022,45,38217.57,0.00,442.31,33.42,11.10,-9.85,201.12
2022,46,38344.35,0.00,382.56,33.42,8.64,-7.15,279.44
2022,47,38472.19,0.00,316.70,33.42,5.32,-6.64,332.48
2022,48,38601.04,0.46,301.98,33.87,3.37,-7.72,319.57
2022,49,38730.86,0.00,437.41,33.87,6.89,-11.91,184.05
2022,50,38861.63,0.00,451.57,33.87,8.99,-10.89,187.91
2022,51,38993.29,0.00,423.61,33.87,8.58,-8.91,228.84
2022,52,39125.81,0.00,290.32,33.10,6.23,-4.17,408.45
2022,53,39259.15,0.00,233.78,32.39,3.69,-4.29,444.56
2022,54,39393.29,6.61,228.93,39.00,3.65,-6.84,366.10
2022,55,39528.18,6.49,272.60,45.49,-0.90,-13.47,216.22
2022,56,39663.80,0.00,463.80,45.49,3.41,-14.77,166.00
2022,57,39800.10,0.00,446.33,45.49,4.45,-12.38,200.53
