Latitude: 38.969116  Longitude: -107.041001
X & Y on Lambert Conformal Conic: -582786.81 -349685.42
Tile: 11557
Elevation: 3331 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 

year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2022,1,33549.69,0.00,339.17,190.76,-9.92,-22.71,98.45
2022,2,33589.26,0.00,407.31,190.76,-5.50,-22.98,96.09
2022,3,33632.06,0.00,371.29,190.76,-1.50,-16.22,172.26
2022,4,33678.07,0.00,264.34,190.76,-1.62,-11.08,262.27
2022,5,33727.25,7.36,81.35,198.12,-3.60,-7.33,352.29
2022,6,33779.58,6.59,109.20,197.18,1.47,-3.75,462.78
2022,7,33835.01,5.21,226.00,202.39,5.33,-6.10,387.49
2022,8,33893.50,7.66,272.18,210.05,-0.20,-14.65,196.35
2022,9,33955.02,0.00,382.59,210.05,-1.66,-16.28,171.48
2022,10,34019.53,0.00,411.29,210.05,1.10,-15.35,185.30
2022,11,34086.98,0.00,375.71,210.05,0.45,-13.52,215.42
2022,12,34157.33,0.00,393.72,210.05,2.43,-12.59,232.26
2022,13,34230.52,0.00,389.67,210.05,5.33,-9.48,297.96
2022,14,34306.53,0.00,303.80,210.05,0.58,-9.81,290.18
2022,15,34385.29,0.00,410.50,210.05,1.21,-14.52,198.48
2022,16,34466.75,0.00,403.93,210.05,3.05,-12.18,240.14
2022,17,34550.88,0.00,399.29,210.05,3.67,-11.04,263.18
2022,18,34637.62,0.00,379.96,210.05,2.54,-10.95,265.18
2022,19,34726.91,0.00,366.42,210.05,1.15,-11.51,253.52
2022,20,34818.70,0.00,379.27,210.05,-1.53,-14.63,196.67
2022,21,34912.95,4.89,186.94,214.94,-2.54,-10.66,271.32
2022,22,35009.59,0.00,375.35,214.94,1.30,-11.42,255.41
2022,23,35108.58,0.00,424.16,214.94,1.33,-13.88,209.09
2022,24,35209.86,4.02,289.33,218.96,0.61,-12.92,226.26
2022,25,35313.37,0.00,411.03,218.96,-0.88,-14.81,193.72
2022,26,35419.08,0.00,434.81,218.96,-2.63,-17.67,152.48
2022,27,35526.90,0.00,395.82,218.96,-5.16,-17.99,148.46
2022,28,35636.81,0.00,471.47,218.96,-2.09,-19.29,132.76
2022,29,35748.74,0.00,493.62,218.96,2.72,-16.18,172.86
2022,30,35862.63,0.00,476.58,218.96,3.40,-13.81,210.32
2022,31,35978.44,0.00,465.43,218.96,2.29,-13.97,207.55
2022,32,36096.10,2.88,302.10,221.84,-2.33,-15.41,184.34
2022,33,36215.58,0.00,424.50,221.84,-9.48,-22.61,99.36
2022,34,36336.81,0.00,480.20,221.84,-8.36,-24.47,84.15
2022,35,36459.74,0.00,522.84,221.84,-2.60,-22.74,98.24
2022,36,36584.33,3.13,332.52,224.97,-1.71,-17.16,159.14
2022,37,36710.52,0.00,389.21,224.97,-2.55,-14.69,195.61
2022,38,36838.25,0.00,487.27,224.97,0.48,-16.52,168.06
2022,39,36967.49,0.00,470.94,224.97,3.41,-12.46,234.81
2022,40,37098.18,0.00,403.49,224.97,2.24,-10.20,281.40
2022,41,37230.27,0.00,425.16,224.97,2.88,-10.33,278.49
2022,42,37363.72,0.00,448.82,224.97,3.05,-11.04,263.27
2022,43,37498.47,0.00,472.29,224.97,0.02,-14.85,193.10
2022,44,37634.49,0.00,493.79,224.97,3.23,-12.90,226.63
2022,45,37771.72,0.00,497.63,224.97,4.95,-11.29,257.89
2022,46,37910.13,1.39,422.79,226.36,3.76,-8.78,314.69
2022,47,38049.66,4.89,266.12,231.25,-0.35,-10.47,275.40
2022,48,38190.28,0.00,367.23,231.25,-3.04,-13.05,223.76
2022,49,38331.94,0.00,470.95,231.25,0.24,-13.44,216.72
2022,50,38474.60,0.00,528.33,231.25,3.49,-13.06,223.65
2022,51,38618.22,0.00,499.24,231.25,3.78,-11.31,257.48
2022,52,38762.76,17.94,188.68,249.20,-2.36,-8.96,310.41
2022,53,38908.18,20.29,149.62,269.49,-5.69,-10.61,272.28
2022,54,39054.44,23.12,260.66,292.61,-2.13,-10.72,269.94
2022,55,39201.50,14.15,261.79,306.75,-6.29,-14.65,196.23
2022,56,39349.34,0.00,454.92,306.75,-4.84,-15.74,179.34
2022,57,39497.91,0.00,586.74,306.75,-4.28,-20.10,123.80
2022,58,39647.17,0.00,656.64,306.75,2.65,-18.24,145.33
2022,59,39797.09,0.00,615.89,306.75,5.91,-11.66,250.53
2022,60,39947.64,0.00,628.06,306.75,8.21,-9.95,287.02
2022,61,40098.78,0.00,620.29,306.75,10.08,-7.57,345.88
2022,62,40250.49,0.00,608.59,306.75,10.79,-6.19,384.59
2022,63,40402.72,11.58,364.09,318.33,4.92,-7.05,360.10
2022,64,40555.46,16.39,242.93,334.72,-0.84,-8.04,333.53
2022,65,40708.65,8.30,298.05,343.02,-2.41,-11.08,262.45
2022,66,40862.29,3.76,475.88,346.78,-2.81,-19.79,127.14
2022,67,41016.33,3.78,477.76,350.56,-4.32,-21.37,110.79
2022,68,41170.75,9.02,344.33,359.57,-3.20,-13.20,221.18
2022,69,41325.51,0.00,692.71,359.57,-4.29,-23.18,94.44
2022,70,41480.60,0.00,689.84,359.57,-4.51,-23.19,94.35
2022,71,41635.98,0.00,675.24,359.57,3.20,-14.82,193.64
2022,72,41791.62,3.86,459.61,363.44,4.75,-10.62,272.12
2022,73,41947.49,0.00,551.63,363.44,2.57,-9.81,290.22
2022,74,42103.58,0.00,680.34,363.44,7.76,-10.14,282.77
2022,75,42259.85,5.15,431.35,368.58,6.07,-7.33,352.31
2022,76,42416.28,0.00,611.25,368.58,1.21,-12.78,228.69
2022,77,42572.83,0.00,670.54,368.58,2.12,-14.51,198.64
