Latitude: 38.714482  Longitude: -106.821469
X & Y on Lambert Conformal Conic: -566865.57 -378139.2
Tile: 11557
Elevation: 2706 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 

year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2022,1,33652.14,0.00,191.80,86.42,-7.57,-16.64,166.40
2022,2,33691.25,0.00,296.55,86.42,-8.57,-25.70,75.20
2022,3,33733.56,0.00,288.70,86.42,-5.96,-22.13,103.63
2022,4,33779.04,0.00,286.19,86.42,-0.56,-16.50,168.33
2022,5,33827.66,4.49,161.52,90.92,-0.31,-10.52,274.32
2022,6,33879.38,0.00,206.83,90.92,3.71,-6.16,385.63
2022,7,33934.18,6.09,199.69,97.00,4.36,-9.11,306.80
2022,8,33992.00,8.23,210.41,105.23,1.74,-12.52,233.63
2022,9,34052.82,0.00,283.35,105.23,-3.71,-18.26,145.07
2022,10,34116.60,0.00,310.61,105.23,-2.34,-19.46,130.88
2022,11,34183.28,0.00,302.49,105.23,-2.38,-18.45,142.71
2022,12,34252.82,0.00,312.48,105.23,-0.14,-17.16,159.15
2022,13,34325.19,0.00,313.90,105.23,2.69,-14.42,200.10
2022,14,34400.33,0.00,298.14,105.23,1.70,-13.61,213.80
2022,15,34478.20,0.00,317.66,105.23,-0.11,-17.00,161.38
2022,16,34558.75,0.00,322.05,105.23,0.04,-17.12,159.77
2022,17,34641.93,0.00,322.86,105.23,1.13,-15.94,176.37
2022,18,34727.69,0.00,309.71,105.23,0.66,-14.89,192.52
2022,19,34815.98,0.00,314.65,105.23,0.70,-15.11,188.92
2022,20,34906.75,0.00,315.81,105.23,-1.50,-17.14,159.42
2022,21,34999.94,2.74,182.60,107.97,-2.73,-13.09,223.03
2022,22,35095.51,0.00,310.77,107.97,-0.67,-15.43,184.07
2022,23,35193.40,0.00,344.95,107.97,-0.79,-18.50,142.03
2022,24,35293.56,0.00,334.78,107.97,-0.89,-17.31,157.23
2022,25,35395.93,0.00,333.09,107.97,-1.59,-17.59,153.58
2022,26,35500.46,0.00,352.26,107.97,-3.39,-20.97,114.83
2022,27,35607.10,1.88,327.30,109.85,-5.57,-20.54,119.17
2022,28,35715.80,0.00,362.34,109.85,-4.20,-22.10,103.93
2022,29,35826.50,0.00,385.93,109.85,-0.88,-21.57,108.87
2022,30,35939.14,0.00,386.46,109.85,0.50,-19.84,126.64
2022,31,36053.69,0.00,383.95,109.85,-0.28,-20.20,122.79
2022,32,36170.07,2.65,265.82,112.50,-3.48,-19.40,131.54
2022,33,36288.25,1.91,331.33,114.41,-7.81,-21.89,105.83
2022,34,36408.16,0.00,369.11,114.41,-9.17,-25.93,73.66
2022,35,36529.77,0.00,408.49,114.41,-5.37,-26.74,68.39
2022,36,36653.01,0.00,387.28,114.41,-3.98,-22.63,99.14
2022,37,36777.84,0.00,368.25,114.41,-2.86,-19.56,129.68
2022,38,36904.20,0.00,404.96,114.41,-0.96,-21.09,113.63
2022,39,37032.05,0.00,393.06,114.41,1.10,-17.61,153.29
2022,40,37161.34,0.00,385.28,114.41,3.35,-14.43,199.85
2022,41,37292.02,0.00,376.54,114.41,2.44,-14.34,201.43
2022,42,37424.04,0.00,397.49,114.41,4.67,-13.64,213.21
2022,43,37557.37,0.00,408.26,114.41,1.77,-17.16,159.20
2022,44,37691.94,0.00,411.58,114.41,2.16,-16.88,163.07
