Latitude: 38.896959  Longitude: -106.979222
X & Y on Lambert Conformal Conic: -578325.49 -357748.38
Tile: 11557
Elevation: 2827 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 

year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2022,1,33590.79,0.00,208.79,109.72,-9.08,-17.62,153.08
2022,2,33630.17,0.00,351.14,109.72,-7.06,-24.40,84.61
2022,3,33672.77,0.00,327.75,109.72,-3.30,-18.54,141.59
2022,4,33718.57,0.00,281.47,109.72,-0.92,-13.09,223.01
2022,5,33767.53,7.84,138.02,117.56,-1.19,-8.73,315.98
2022,6,33819.61,5.86,142.43,117.16,2.77,-5.07,419.16
2022,7,33874.79,3.44,209.51,120.60,4.71,-7.55,346.51
2022,8,33933.01,5.80,224.93,126.40,1.28,-11.92,245.21
2022,9,33994.25,0.00,334.62,126.40,-3.00,-17.79,150.96
2022,10,34058.47,0.00,359.25,126.40,-0.42,-17.16,159.18
2022,11,34125.61,0.00,332.49,126.40,-1.18,-15.66,180.48
2022,12,34195.63,0.00,345.03,126.40,0.80,-14.52,198.36
2022,13,34268.50,0.00,348.17,126.40,3.93,-11.65,250.59
2022,14,34344.15,0.00,308.74,126.40,1.29,-11.49,253.93
2022,15,34422.56,0.00,358.36,126.40,0.10,-15.83,178.02
2022,16,34503.66,0.00,357.15,126.40,1.33,-14.27,202.56
2022,17,34587.40,0.00,355.08,126.40,2.13,-13.22,220.66
2022,18,34673.75,0.00,339.96,126.40,1.36,-12.77,228.88
2022,19,34762.63,0.00,334.72,126.40,0.32,-13.33,218.69
2022,20,34854.02,0.66,349.35,127.06,-1.89,-16.25,171.83
2022,21,34947.84,2.31,187.25,129.37,-2.88,-12.29,238.13
2022,22,35044.05,0.00,330.04,129.37,-0.00,-12.97,225.35
2022,23,35142.60,0.00,377.27,129.37,-0.11,-15.84,177.89
2022,24,35243.43,1.04,358.41,130.41,-0.63,-14.89,192.48
2022,25,35346.48,0.00,371.46,130.41,-1.39,-16.31,170.98
2022,26,35451.72,0.00,400.60,130.41,-2.58,-19.43,131.14
2022,27,35559.07,0.00,372.78,130.41,-5.08,-19.67,128.51
2022,28,35668.49,0.00,413.25,130.41,-3.62,-20.95,114.99
2022,29,35779.92,0.00,434.49,130.41,0.86,-18.47,142.42
2022,30,35893.32,0.00,423.33,130.41,1.83,-16.10,174.05
2022,31,36008.62,0.00,413.16,130.41,0.53,-16.49,168.43
2022,32,36125.77,1.18,378.61,131.59,-3.25,-17.49,154.88
2022,33,36244.72,0.00,373.64,131.59,-7.74,-21.33,111.18
2022,34,36365.43,0.00,424.23,131.59,-8.99,-25.74,74.98
2022,35,36487.83,0.00,460.93,131.59,-4.04,-24.48,84.02
2022,36,36611.87,1.27,410.07,132.86,-3.35,-19.40,131.53
2022,37,36737.51,0.00,380.00,132.86,-2.49,-16.65,166.22
2022,38,36864.70,0.00,435.18,132.86,-0.84,-18.40,143.24
2022,39,36993.38,0.00,427.46,132.86,2.49,-14.48,199.01
2022,40,37123.51,0.00,401.50,132.86,3.08,-12.04,242.84
2022,41,37255.03,0.00,394.45,132.86,2.23,-12.29,237.97
2022,42,37387.91,0.00,434.39,132.86,4.10,-12.67,230.82
2022,43,37522.09,0.00,440.61,132.86,0.82,-16.06,174.64
2022,44,37657.53,0.00,443.42,132.86,2.33,-14.71,195.33
2022,45,37794.18,0.00,445.87,132.86,3.67,-13.39,217.67
2022,46,37931.99,1.27,438.58,134.12,4.86,-11.51,253.40
2022,47,38070.94,4.73,278.02,138.86,0.56,-12.24,239.03
2022,48,38210.96,0.00,342.07,138.86,-2.77,-13.86,209.44
2022,49,38352.02,0.00,438.17,138.86,0.45,-14.97,191.11
2022,50,38494.08,0.00,471.60,138.86,2.26,-15.06,189.71
2022,51,38637.10,0.00,479.11,138.86,4.61,-13.37,217.98
2022,52,38781.03,12.32,246.17,151.18,-0.30,-10.82,267.92
2022,53,38925.84,11.66,124.68,162.84,-4.18,-9.01,309.20
2022,54,39071.49,9.76,200.33,172.59,-1.60,-9.42,299.31
2022,55,39217.95,3.00,184.87,175.59,-6.60,-13.54,215.08
2022,56,39365.17,0.00,386.59,175.59,-4.86,-15.94,176.36
2022,57,39513.11,0.00,511.56,175.59,-4.73,-21.23,112.24
2022,58,39661.75,0.00,575.36,175.59,1.32,-20.20,122.78
2022,59,39811.06,0.00,538.05,175.59,4.68,-13.41,217.37
2022,60,39960.98,0.00,550.89,175.59,7.19,-11.77,248.22
2022,61,40111.50,0.00,544.28,175.59,8.67,-9.71,292.56
2022,62,40262.58,0.00,537.81,175.59,9.48,-8.33,326.11
2022,63,40414.19,7.10,368.30,182.69,6.30,-8.96,310.38
2022,64,40566.29,11.02,267.55,193.71,1.82,-7.82,339.32
2022,65,40718.86,4.85,215.69,198.56,-2.14,-9.40,299.67
2022,66,40871.86,0.00,458.41,198.56,-3.19,-15.21,187.42
2022,67,41025.27,3.42,444.62,201.98,-3.34,-22.45,100.75
2022,68,41179.05,8.31,369.03,210.29,-1.65,-14.87,192.78
2022,69,41333.18,0.00,517.74,210.29,-3.95,-17.59,153.51
2022,70,41487.63,0.00,637.59,210.29,-4.01,-24.49,83.94
2022,71,41642.37,0.00,617.62,210.29,2.81,-16.22,172.30
2022,72,41797.37,3.20,450.17,213.49,5.82,-12.64,231.45
2022,73,41952.61,0.00,551.08,213.49,4.48,-10.49,274.90
2022,74,42108.06,0.00,619.26,213.49,6.82,-11.69,247.06
2022,75,42263.69,2.00,580.05,215.48,6.87,-9.19,304.87
2022,76,42419.48,0.00,517.02,215.48,2.38,-10.67,271.18
2022,77,42575.39,0.00,632.19,215.48,3.27,-15.26,186.70
2022,78,42731.41,0.00,622.87,215.48,5.76,-12.26,237.68
2022,79,42887.51,0.00,529.88,215.48,6.18,-7.44,349.49
2022,80,43043.66,0.00,447.74,215.48,3.15,-7.49,348.06
2022,81,43199.83,0.92,412.15,216.40,-0.09,-9.44,298.81
2022,82,43356.00,0.00,615.21,216.40,4.25,-12.17,240.05
