Latitude: 38.960884  Longitude: -107.031621
X & Y on Lambert Conformal Conic: -582085.84 -350621.67
Tile: 11557
Elevation: 3168 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 

year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2022,1,33570.26,0.00,298.55,173.10,-9.66,-21.20,112.46
2022,2,33609.73,0.00,387.06,173.10,-5.85,-23.32,93.26
2022,3,33652.43,0.00,354.31,173.10,-1.86,-16.66,166.04
2022,4,33698.34,0.00,267.12,173.10,-1.35,-11.45,254.65
2022,5,33747.41,7.29,98.31,180.39,-2.79,-7.60,345.18
2022,6,33799.61,6.10,118.95,179.56,1.88,-4.04,453.10
2022,7,33854.92,4.65,221.42,184.21,5.33,-6.41,378.20
2022,8,33913.28,7.06,254.38,191.27,0.29,-13.62,213.64
2022,9,33974.66,0.00,366.40,191.27,-2.00,-16.67,165.94
2022,10,34039.02,0.00,391.80,191.27,0.74,-15.76,179.11
2022,11,34106.31,0.00,358.58,191.27,0.07,-13.97,207.61
2022,12,34176.50,0.00,375.18,191.27,2.07,-12.99,224.98
2022,13,34249.53,0.00,372.24,191.27,4.99,-9.90,288.10
2022,14,34325.36,0.00,303.16,191.27,0.81,-10.16,282.23
2022,15,34403.94,0.00,390.99,191.27,0.90,-14.84,193.31
2022,16,34485.22,0.00,385.75,191.27,2.68,-12.61,231.96
2022,17,34569.16,0.00,381.64,191.27,3.32,-11.48,254.04
2022,18,34655.70,0.00,364.01,191.27,2.25,-11.33,257.21
2022,19,34744.79,0.00,353.38,191.27,0.96,-11.90,245.60
2022,20,34836.37,0.00,367.99,191.27,-1.56,-15.00,190.64
2022,21,34930.41,4.19,185.98,195.47,-2.62,-11.05,263.04
2022,22,35026.84,0.00,358.42,195.47,1.00,-11.72,249.17
2022,23,35125.60,0.00,407.23,195.47,0.99,-14.28,202.37
2022,24,35226.66,3.10,278.38,198.57,0.30,-13.31,219.17
2022,25,35329.94,0.00,392.22,198.57,-1.02,-14.97,191.11
2022,26,35435.41,0.00,422.16,198.57,-2.50,-18.06,147.51
2022,27,35543.00,0.00,387.95,198.57,-5.02,-18.37,143.71
2022,28,35652.66,0.00,452.11,198.57,-2.46,-19.69,128.26
2022,29,35764.34,0.00,471.23,198.57,2.31,-16.65,166.25
2022,30,35877.99,0.00,455.92,198.57,3.04,-14.26,202.69
2022,31,35993.54,0.00,444.77,198.57,1.90,-14.45,199.63
2022,32,36110.95,2.48,292.66,201.04,-2.57,-15.83,178.00
2022,33,36230.16,0.00,406.95,201.04,-8.88,-22.00,104.88
2022,34,36351.13,0.00,462.98,201.04,-8.49,-24.80,81.62
2022,35,36473.80,0.00,502.00,201.04,-2.93,-23.11,95.03
2022,36,36598.11,2.52,321.24,203.56,-2.08,-17.61,153.31
2022,37,36724.03,0.00,385.10,203.56,-2.42,-15.04,190.07
2022,38,36851.49,0.00,470.38,203.56,0.14,-16.90,162.79
2022,39,36980.45,0.00,456.77,203.56,3.30,-12.86,227.36
2022,40,37110.85,0.00,403.06,203.56,2.58,-10.57,273.17
2022,41,37242.66,0.00,414.15,203.56,2.76,-10.74,269.50
2022,42,37375.82,0.00,446.00,203.56,3.44,-11.39,255.83
2022,43,37510.29,0.00,462.20,203.56,0.27,-15.14,188.56
2022,44,37646.02,0.00,477.52,203.56,3.09,-13.28,219.70
2022,45,37782.96,0.00,478.62,203.56,4.61,-11.70,249.56
2022,46,37921.07,1.58,429.56,205.14,4.26,-9.36,300.76
2022,47,38060.31,4.99,272.43,210.13,0.05,-10.89,266.35
2022,48,38200.63,0.00,354.79,210.13,-2.92,-13.07,223.36
2022,49,38341.99,0.00,461.42,210.13,0.43,-13.77,211.09
2022,50,38484.35,0.00,507.87,210.13,3.15,-13.47,216.24
2022,51,38627.66,0.00,495.89,210.13,4.21,-11.74,248.89
2022,52,38771.90,16.51,209.02,226.64,-1.64,-9.37,300.57
2022,53,38917.02,17.92,139.78,244.55,-5.22,-10.04,285.07
2022,54,39062.97,19.24,239.86,263.79,-1.91,-10.21,281.12
2022,55,39209.73,10.61,236.93,274.41,-6.33,-14.23,203.25
2022,56,39357.26,0.00,426.92,274.41,-4.79,-15.47,183.40
2022,57,39505.52,0.00,563.79,274.41,-4.30,-20.22,122.47
2022,58,39654.47,0.00,632.13,274.41,2.31,-18.67,140.08
2022,59,39804.08,0.00,593.91,274.41,5.59,-12.02,243.26
2022,60,39954.32,0.00,604.25,274.41,7.92,-10.32,278.63
2022,61,40105.15,0.00,596.99,274.41,9.73,-8.01,334.37
2022,62,40256.54,0.00,588.91,274.41,10.53,-6.62,372.10
2022,63,40408.46,10.39,372.22,284.80,5.50,-7.48,348.33
