Latitude: 38.882313  Longitude: -106.98022
X & Y on Lambert Conformal Conic: -578537.95 -359290.88
Tile: 11557
Elevation: 2778 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 

year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2022,1,33590.79,0.00,196.78,105.92,-8.98,-17.06,160.60
2022,2,33630.17,0.00,351.97,105.92,-7.21,-24.52,83.70
2022,3,33672.77,0.00,328.53,105.92,-3.48,-18.74,139.21
2022,4,33718.57,0.00,285.68,105.92,-0.85,-13.29,219.55
2022,5,33767.53,7.85,143.07,113.76,-0.95,-8.87,312.44
2022,6,33819.61,5.83,146.19,113.42,2.96,-5.19,415.10
2022,7,33874.79,3.37,208.01,116.80,4.60,-7.63,344.21
2022,8,33933.01,5.70,222.38,122.50,1.45,-11.69,249.89
2022,9,33994.25,0.00,332.96,122.50,-3.13,-17.88,149.82
2022,10,34058.47,0.00,359.84,122.50,-0.57,-17.28,157.63
2022,11,34125.61,0.00,332.60,122.50,-1.35,-15.83,178.06
2022,12,34195.63,0.00,344.90,122.50,0.59,-14.68,195.84
2022,13,34268.50,0.00,349.15,122.50,3.78,-11.84,246.86
2022,14,34344.15,0.00,312.82,122.50,1.39,-11.63,250.94
2022,15,34422.56,0.00,358.12,122.50,-0.04,-15.89,177.04
2022,16,34503.66,0.00,355.66,122.50,1.13,-14.43,199.97
2022,17,34587.40,0.00,355.65,122.50,1.95,-13.40,217.46
2022,18,34673.75,0.00,340.18,122.50,1.23,-12.91,226.28
2022,19,34762.63,0.00,335.54,122.50,0.23,-13.48,216.11
2022,20,34854.02,0.50,350.16,123.00,-1.94,-16.36,170.33
2022,21,34947.84,2.19,188.02,125.20,-2.93,-12.47,234.62
2022,22,35044.05,0.00,328.75,125.20,-0.13,-13.05,223.77
2022,23,35142.60,0.00,377.11,125.20,-0.29,-15.98,175.79
2022,24,35243.43,0.85,358.68,126.05,-0.77,-15.05,189.93
2022,25,35346.48,0.00,373.35,126.05,-1.42,-16.46,168.81
2022,26,35451.72,0.00,404.28,126.05,-2.59,-19.54,129.90
2022,27,35559.07,0.00,375.95,126.05,-5.12,-19.81,126.93
2022,28,35668.49,0.00,412.95,126.05,-3.83,-21.05,113.93
2022,29,35779.92,0.00,437.64,126.05,0.65,-18.67,140.03
2022,30,35893.32,0.00,425.96,126.05,1.64,-16.28,171.47
2022,31,36008.62,0.00,414.85,126.05,0.28,-16.70,165.51
2022,32,36125.77,1.13,381.20,127.17,-3.36,-17.69,152.17
2022,33,36244.72,0.00,374.37,127.17,-7.59,-21.26,111.92
2022,34,36365.43,0.00,426.37,127.17,-9.06,-25.82,74.41
2022,35,36487.83,0.00,462.39,127.17,-4.22,-24.61,83.03
2022,36,36611.87,1.08,410.20,128.25,-3.57,-19.59,129.43
2022,37,36737.51,0.00,383.14,128.25,-2.49,-16.82,163.83
2022,38,36864.70,0.00,435.32,128.25,-1.04,-18.55,141.53
2022,39,36993.38,0.00,428.75,128.25,2.38,-14.64,196.46
2022,40,37123.51,0.00,405.87,128.25,3.17,-12.22,239.42
2022,41,37255.03,0.00,395.88,128.25,2.13,-12.49,234.22
2022,42,37387.91,0.00,437.04,128.25,4.21,-12.84,227.72
2022,43,37522.09,0.00,443.40,128.25,0.94,-16.13,173.55
2022,44,37657.53,0.00,443.62,128.25,2.21,-14.83,193.35
2022,45,37794.18,0.00,445.66,128.25,3.51,-13.54,215.06
2022,46,37931.99,0.98,441.52,129.23,4.92,-11.76,248.46
2022,47,38070.94,4.40,280.59,133.63,0.64,-12.47,234.63
2022,48,38210.96,0.00,342.87,133.63,-2.71,-13.93,208.25
2022,49,38352.02,0.00,439.37,133.63,0.47,-15.09,189.24
2022,50,38494.08,0.00,469.48,133.63,2.11,-15.22,187.28
2022,51,38637.10,0.00,481.01,133.63,4.64,-13.52,215.36
