Latitude: 38.991435  Longitude: -107.066237
X & Y on Lambert Conformal Conic: -584670.15 -347148.08
Tile: 11557
Elevation: 3459 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 

year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2022,1,33549.69,0.00,343.38,183.66,-9.88,-24.29,85.47
2022,2,33589.26,0.00,376.61,183.66,-5.07,-22.60,99.47
2022,3,33632.06,0.00,344.44,183.66,-0.95,-15.50,182.90
2022,4,33678.07,0.00,238.10,183.66,-1.68,-10.43,276.35
2022,5,33727.25,7.01,65.38,190.67,-4.05,-6.88,364.98
2022,6,33779.58,6.80,99.16,189.56,1.30,-3.36,476.67
2022,7,33835.01,5.60,216.65,189.41,5.57,-5.65,400.91
2022,8,33893.50,8.09,265.49,197.51,-0.52,-15.38,184.87
2022,9,33955.02,0.00,357.67,197.51,-1.34,-15.89,177.19
2022,10,34019.53,0.00,379.91,197.51,1.51,-14.84,193.23
2022,11,34086.98,0.00,348.79,197.51,0.90,-12.89,226.68
2022,12,34157.33,0.00,365.13,197.51,2.89,-12.00,243.66
2022,13,34230.52,0.00,359.54,197.51,5.70,-8.81,314.00
2022,14,34306.53,0.00,278.92,197.51,0.53,-9.31,301.83
2022,15,34385.29,0.00,382.43,197.51,1.45,-14.14,204.65
2022,16,34466.75,0.00,376.96,197.51,3.55,-11.55,252.58
2022,17,34550.88,0.00,370.10,197.51,4.10,-10.38,277.38
2022,18,34637.62,0.00,353.38,197.51,2.86,-10.39,277.18
2022,19,34726.91,0.00,342.86,197.51,1.48,-10.98,264.54
2022,20,34818.70,0.00,355.49,197.51,-1.19,-14.14,204.67
2022,21,34912.95,5.58,179.31,203.09,-2.39,-10.22,280.89
2022,22,35009.59,0.00,355.12,203.09,1.68,-10.93,265.61
2022,23,35108.58,0.00,396.93,203.09,1.71,-13.29,219.49
2022,24,35209.86,5.00,275.66,208.09,0.94,-12.30,237.83
2022,25,35313.37,0.00,382.75,208.09,-0.79,-14.39,200.50
2022,26,35419.08,0.00,399.37,208.09,-2.76,-17.16,159.27
2022,27,35526.90,0.00,363.99,208.09,-5.34,-17.49,154.79
2022,28,35636.81,0.00,442.56,208.09,-1.69,-18.84,137.99
2022,29,35748.74,0.00,458.58,208.09,3.24,-15.50,183.01
2022,30,35862.63,0.00,443.24,208.09,3.84,-13.11,222.69
2022,31,35978.44,0.00,434.20,208.09,2.79,-13.18,221.51
2022,32,36096.10,3.44,289.08,211.53,-2.08,-14.77,194.37
2022,33,36215.58,0.00,403.03,211.53,-9.96,-22.89,96.86
2022,34,36336.81,0.00,451.14,211.53,-8.17,-24.13,86.72
2022,35,36459.74,0.00,487.97,211.53,-2.21,-22.22,102.85
2022,36,36584.33,3.78,318.84,215.31,-1.26,-16.49,168.45
2022,37,36710.52,0.00,362.35,215.31,-2.47,-14.03,206.55
2022,38,36838.25,0.00,459.84,215.31,0.81,-15.94,176.43
2022,39,36967.49,0.00,442.16,215.31,3.69,-11.82,247.19
2022,40,37098.18,0.00,374.49,215.31,2.17,-9.63,294.35
2022,41,37230.27,0.00,404.27,215.31,3.19,-9.74,291.91
