 ,Area,Mean,Min,Max
1,19.743,255,255,255
2,29.216,255,255,255
3,22.659,255,255,255
4,30.142,255,255,255
5,8.97,255,255,255
6,25.725,255,255,255
7,16.784,255,255,255
8,16.691,255,255,255
9,5.544,255,255,255
10,13.595,255,255,255
11,10.356,255,255,255
12,18.673,255,255,255
13,6.485,255,255,255
14,15.355,255,255,255
15,10.442,255,255,255
16,13.064,255,255,255
17,12.353,255,255,255
18,40.032,255,255,255
19,6.729,255,255,255
20,10.134,255,255,255
21,8.08,255,255,255
22,27.88,255,255,255
23,9.071,255,255,255
24,10.6,255,255,255
25,9.207,255,255,255
26,14.227,255,255,255
27,17.868,255,255,255
28,10.787,255,255,255
29,11.986,255,255,255
30,9.954,255,255,255
31,8.791,255,255,255
32,16.626,255,255,255
33,11.175,255,255,255
34,34.595,255,255,255
35,5.394,255,255,255
36,5.135,255,255,255
37,9.358,255,255,255
38,7.749,255,255,255
39,8.029,255,255,255
40,7.476,255,255,255
41,6.816,255,255,255
42,8.604,255,255,255
43,11.563,255,255,255
44,8.826,255,255,255
total,612.489,,,
,6.12489,,,
