 ,Area,Mean,Min,Max
1,10.78,255,255,255
2,5.07,255,255,255
3,23.42,255,255,255
4,13.595,255,255,255
5,10.327,255,255,255
6,18.888,255,255,255
7,24.066,255,255,255
8,17.136,255,255,255
9,6.313,255,255,255
10,8.166,255,255,255
11,12.281,255,255,255
12,13.401,255,255,255
13,3.174,255,255,255
14,17.466,255,255,255
15,24.734,255,255,255
16,19.671,255,255,255
17,11.627,255,255,255
18,26.551,255,255,255
19,7.749,255,255,255
20,19.132,255,255,255
21,36.34,255,255,255
22,31.097,255,255,255
23,29.273,255,255,255
24,31.471,255,255,255
25,58.446,255,255,255
26,22.307,255,255,255
27,45.418,255,255,255
28,29.805,255,255,255
29,15.312,255,255,255
30,12.022,255,255,255
31,19.973,255,255,255
32,9.336,255,255,255
33,13.437,255,255,255
34,21.05,255,255,255
35,31.047,255,255,255
36,5.358,255,255,255
37,7.641,255,255,255
38,13.416,255,255,255
39,12.245,255,255,255
40,12.18,255,255,255
41,3.426,255,255,255
42,17.301,255,255,255
43,7.29,255,255,255
44,6.112,255,255,255
45,10.105,255,255,255
46,8.008,255,255,255
47,20.906,255,255,255
48,6.895,255,255,255
49,9.078,255,255,255
50,13.401,255,255,255
51,17.093,255,255,255
total,870.336,,,
,8.70336,,,
