 ,Area,Mean,Min,Max
1,7.792,255,255,255
2,4.094,255,255,255
3,7.110,255,255,255
4,6.464,255,255,255
5,5.659,255,255,255
6,6.981,255,255,255
7,11.527,255,255,255
8,25.625,255,255,255
9,16.662,255,255,255
10,3.404,255,255,255
11,12.511,255,255,255
12,8.166,255,255,255
13,8.891,255,255,255
14,16.123,255,255,255
15,5.796,255,255,255
16,8.762,255,255,255
17,5.997,255,255,255
18,26.156,255,255,255
19,8.001,255,255,255
20,8.762,255,255,255
21,23.363,255,255,255
22,16.999,255,255,255
23,6.342,255,255,255
24,3.893,255,255,255
25,16.762,255,255,255
26,9.703,255,255,255
27,4.812,255,255,255
28,4.898,255,255,255
29,10.363,255,255,255
30,5.516,255,255,255
31,6.816,255,255,255
32,4.654,255,255,255
33,8.733,255,255,255
34,4.165,255,255,255
35,8.381,255,255,255
36,6.270,255,255,255
37,4.273,255,255,255
38,9.178,255,255,255
39,24.756,255,255,255
40,3.002,255,255,255
41,22.924,255,255,255
42,6.535,255,255,255
43,14.615,255,255,255
44,32.792,255,255,255
45,5.868,255,255,255
46,3.002,255,255,255
47,9.739,255,255,255
48,15.103,255,255,255
49,24.289,255,255,255
50,6.413,255,255,255
51,18.644,255,255,255
52,13.028,255,255,255
53,19.305,255,255,255
54,11.017,255,255,255
55,19.563,255,255,255
56,17.682,255,255,255
57,23.240,255,255,255
58,4.503,255,255,255
59,3.612,255,255,255
60,4.316,255,255,255
61,10.909,255,255,255
62,7.440,255,255,255
63,6.054,255,255,255
64,3.921,255,255,255
65,15.893,255,255,255
66,8.712,255,255,255
67,3.038,255,255,255
