 ,Area,Mean,Min,Max
1,10.564,255,255,255
2,7.778,255,255,255
3,9.408,255,255,255
4,13.15,255,255,255
5,18.321,255,255,255
6,5.078,255,255,255
7,11.584,255,255,255
8,16.109,255,255,255
9,9.006,255,255,255
10,9.085,255,255,255
11,26.386,255,255,255
12,15.269,255,255,255
13,9.286,255,255,255
14,14.45,255,255,255
15,16.26,255,255,255
16,5.911,255,255,255
17,6.435,255,255,255
18,10.299,255,255,255
19,12.712,255,255,255
20,5.121,255,255,255
21,10.327,255,255,255
22,11.34,255,255,255
23,10.586,255,255,255
24,16.267,255,255,255
25,3.49,255,255,255
26,6.105,255,255,255
27,7.677,255,255,255
28,5.839,255,255,255
29,3.375,255,255,255
30,12.331,255,255,255
31,6.959,255,255,255
32,11.168,255,255,255
33,11.232,255,255,255
34,9.48,255,255,255
35,4.022,255,255,255
36,6.672,255,255,255
37,4.338,255,255,255
38,8.345,255,255,255
39,12.468,255,255,255
40,7.282,255,255,255
41,10.974,255,255,255
42,5.415,255,255,255
43,14.601,255,255,255
44,14.55,255,255,255
45,16.296,255,255,255
46,12.812,255,255,255
47,9.107,255,255,255
48,2.708,255,255,255
49,7.555,255,255,255
50,7.038,255,255,255
51,12.044,255,255,255
52,8.46,255,255,255
53,4.273,255,255,255
54,11.268,255,255,255
55,15.671,255,255,255
56,10.981,255,255,255
57,4.991,255,255,255
58,10.895,255,255,255
59,5.508,255,255,255
60,11.24,255,255,255
61,11.62,255,255,255
62,6.363,255,255,255
63,10.342,255,255,255
64,11.814,255,255,255
total,638.041,,,
,6.38041,,,
