 ,Area,Mean,Min,Max
1,14.744,255,255,255
2,22.199,255,255,255
3,12.238,255,255,255
4,2.636,255,255,255
5,2.945,255,255,255
6,11.656,255,255,255
7,14.78,255,255,255
8,2.973,255,255,255
9,4.654,255,255,255
10,10.083,255,255,255
11,11.031,255,255,255
12,15.807,255,255,255
13,19.255,255,255,255
14,4.955,255,255,255
15,8.281,255,255,255
16,17.969,255,255,255
17,8.561,255,255,255
18,12.475,255,255,255
19,28.088,255,255,255
20,7.922,255,255,255
21,5.243,255,255,255
22,6.974,255,255,255
23,5.35,255,255,255
24,2.873,255,255,255
25,12.338,255,255,255
26,3.648,255,255,255
27,4.388,255,255,255
28,3.045,255,255,255
29,6.686,255,255,255
30,10.205,255,255,255
31,9.976,255,255,255
32,8.288,255,255,255
33,24.82,255,255,255
34,4.891,255,255,255
35,8.065,255,255,255
36,2.765,255,255,255
37,8.396,255,255,255
38,6.902,255,255,255
39,6.78,255,255,255
40,9.013,255,255,255
41,7.943,255,255,255
42,3.928,255,255,255
43,14.91,255,255,255
44,6.176,255,255,255
45,5.745,255,255,255
46,4.833,255,255,255
47,5.609,255,255,255
48,3.957,255,255,255
49,6.866,255,255,255
50,4.762,255,255,255
51,2.686,255,255,255
52,11.369,255,255,255
total,462.682,,,
,4.62682,,,
